specimen,family,name,species,gender,p2.1,p2.2,p2.3,p3.1,p3.2,p3.3,p4.1,p4.2,p4.3,m1.1,m1.2,m1.3,m2.1,m2.2,m2.3,m3.1,m3.2,m3.3
FMNH 157397,Tayassuidae,Catagonus wagneri ,Catagonus wagneri ,,4.99,4.789,4.929,7.922,7.479,7.811,11.827,11.715,11.38,13.277,13.389,13.277,15.955,15.732,16.067,15.397,15.509,15.843
FMNH 157397,Tayassuidae,Catagonus wagneri ,Catagonus wagneri ,,5.294,5.293,5.293,7.996,8.334,7.996,11.487,11.712,11.487,13.626,13.401,13.627,14.978,15.09,15.203,14.978,15.203,15.315
FMNH 58646,Tayassuidae,Catagonus wagneri ,Catagonus wagneri ,,5.157,5.38,5.933,7.942,7.719,7.607,11.524,11.191,11.634,12.642,12.641,12.641,14.766,14.43,14.878,15.102,15.102,14.991
FMNH 157396,Tayassuidae,Catagonus wagneri ,Catagonus wagneri ,,6.11,5.673,5.947,7.455,8.122,7.456,11.238,10.571,11.127,13.685,13.241,13.129,16.134,16.245,16.245,16.801,16.69,16.802
FMNH 16012,Tayassuidae,Pecari tajacu angulatus,Pecari tajacu,,5.128,5.797,5.575,6.8,6.689,6.801,9.364,9.252,8.806,9.364,9.141,9.029,11.148,11.259,11.092,11.482,11.259,11.37
FMNH 16011,Tayassuidae,Pecari tajacu angulatus,Pecari tajacu,,4.699,5.034,4.922,6.151,6.147,6.148,9.282,8.947,8.941,10.728,10.728,10.282,9.835,12.405,12.405,11.399,11.287,11.4
FMNH 15998,Tayassuidae,Pecari tajacu crassus,Pecari tajacu,,4.356,4.468,4.468,5.92,5.59,6.144,8.713,8.601,8.714,10.053,10.166,10.282,10.612,11.059,10.615,10.389,10.5,10.5
FMNH 15996,Tayassuidae,Pecari tajacu crassus,Pecari tajacu,,4.442,4.741,4.365,6.02,6.246,6.246,9.106,8.955,9.256,9.934,9.858,9.783,11.664,11.363,11.589,12.643,12.341,12.492
FMNH 14032,Tayassuidae,Pecari tajacu humeralis,Pecari tajacu,,4.35,4.126,4.05,6.226,6.076,5.85,8.551,8.626,8.476,10.051,10.201,10.051,11.251,11.251,11.251,11.626,11.77,11.776
FMNH 14031,Tayassuidae,Pecari tajacu humeralis,Pecari tajacu,,4.177,3.95,4.177,6.546,6.098,6.32,8.239,8.126,8.239,9.48,9.593,9.48,10.496,10.609,10.496,10.721,10.609,10.948
FMNH 63923,Tayassuidae,Pecari tajacu nelsoni,Pecari tajacu,,4.314,4.239,4.165,5.43,5.429,5.429,7.215,7.289,7.437,8.33,8.479,8.181,10.189,10.339,10.04,9.52,9.371,9.445
FMNH 63922,Tayassuidae,Pecari tajacu nelsoni,Pecari tajacu,,4.316,4.666,4.431,6.301,6.376,6.526,8.251,8.401,8.101,8.701,8.551,8.626,9.976,9.826,9.826,9.151,9.302,9.226
FMNH 121193,Tayassuidae,Pecari tajacu ,Pecari tajacu,,6.091,5.891,5.991,7.772,7.586,7.448,9.613,9.298,9.402,11.344,11.368,11.392,12.569,12.678,12.699,12.424,12.287,12.348
FMNH 34332,Tayassuidae,Pecari tajacu ,Pecari tajacu,,4.505,4.957,4.73,5.293,5.518,5.294,7.996,8.221,8.222,9.686,9.461,9.798,11.375,11.601,11.263,10.924,11.037,11.375
FMNH 28916,Tayassuidae,Pecari tajacu,Pecari tajacu,,5.261,5.373,5.15,6.269,6.381,6.045,8.62,9.068,8.732,9.628,9.627,9.851,11.419,11.307,11.419,10.635,10.747,10.859
FMNH 28315,Tayassuidae,Pecari tajacu,Pecari tajacu,,4.601,4.713,4.713,5.499,5.304,5.205,7.855,7.427,7.763,10.101,9.554,9.874,12.119,11.895,11.937,10.55,10.772,10.887
FMNH 92369,Tayassuidae,Tayassu pecari pecari ,Tayassu pecari ,,5.66,5.549,5.882,7.768,7.324,7.546,10.432,9.987,10.0999,11.653,11.986,11.763,13.65,13.428,13.428,23.65,13.761,13.761
