,occurrences.order_name,occurrences.family_name,occurrences.parent_name,occurrences.genus_name,taxon,reg,,
115,Artiodactyla,Antilocapridae,Antilocapridae,Submeryceros,Submeryceros minimus,ruminantia,,
116,Artiodactyla,Antilocapridae,Antilocapridae,Submeryceros,Submeryceros minor,ruminantia,,
122,Artiodactyla,Antilocapridae,Antilocapridae,Texoceros,Texoceros altidens,ruminantia,,
123,Artiodactyla,Antilocapridae,Antilocapridae,Texoceros,Texoceros edensis,ruminantia,,
124,Artiodactyla,Antilocapridae,Antilocapridae,Texoceros,Texoceros guymonensis,ruminantia,,
125,Artiodactyla,Antilocapridae,Antilocapridae,Texoceros,Texoceros minorei,ruminantia,,
126,Artiodactyla,Antilocapridae,Antilocapridae,Texoceros,Texoceros vaughani,ruminantia,,
71,Artiodactyla,Antilocapridae,Antilocaprinae,Capromeryx,Capromeryx arizonensis,ruminantia,,
72,Artiodactyla,Antilocapridae,Antilocaprinae,Capromeryx,Capromeryx furcifer,ruminantia,,
74,Artiodactyla,Antilocapridae,Antilocaprinae,Capromeryx,Capromeryx minor,ruminantia,,
75,Artiodactyla,Antilocapridae,Antilocaprinae,Capromeryx,Capromeryx tauntonensis,ruminantia,,
76,Artiodactyla,Antilocapridae,Antilocaprinae,Ceratomeryx,Ceratomeryx prenticei,ruminantia,,
82,Artiodactyla,Antilocapridae,Antilocaprinae,Hexobelomeryx,Hexobelomeryx fricki,ruminantia,,
94,Artiodactyla,Antilocapridae,Antilocaprinae,Osbornoceros,Osbornoceros osborni,ruminantia,,
95,Artiodactyla,Antilocapridae,Antilocaprinae,Ottoceros,Ottoceros peacevalleyensis,ruminantia,,
105,Artiodactyla,Antilocapridae,Antilocaprinae,Proantilocapra,Proantilocapra platycornea,ruminantia,,
110,Artiodactyla,Antilocapridae,Antilocaprinae,Sphenophalos,Sphenophalos garciae,ruminantia,,
111,Artiodactyla,Antilocapridae,Antilocaprinae,Sphenophalos,Sphenophalos middleswarti,ruminantia,,
112,Artiodactyla,Antilocapridae,Antilocaprinae,Sphenophalos,Sphenophalos nevadanus,ruminantia,,
132,Artiodactyla,Bovidae,Bovidae,Bootherium,Bootherium bombifrons,ruminantia,,
135,Artiodactyla,Bovidae,Bovidae,Neotragocerus,Neotragocerus improvisus,ruminantia,,
