specimen,family,name,species,gender,p2.1,p2.2,p2.3,p3.1,p3.2,p3.3,p4.1,p4.2,p4.3,m1.1,m1.2,m1.3,m2.1,m2.2,m2.3,m3.1,m3.2,m3.3
FMNH 7038,Bovidae,Tragelaphus scrtiptus delamerei,Tragelaphus scriptus,Male,7.863,8.014,8.155,10.6,10.6,10.6,11.246,11.22,11.381,11.962,11.884,11.938,13.774,13.77,13.774,21.404,21.554,21.404
FMNH 101861,Bovidae,Tragelaphus spekii,Tragelaphus spekii,Male,7.86,7.595,7.768,9.767,10.231,10.058,13.459,13.817,13.814,14.608,14.383,14.277,16.43,16.655,16.445,29.764,29.639,29.398
FMNH 128017,Bovidae,Tragelaphus spekii sylvestris,Tragelaphus spekii,Male,7.887,8.08,8.322,12.619,12.54,12.399,12.152,12.435,12.176,14.292,13.945,14.081,16.658,16.344,16.71,26.075,26.519,26.269
FMNH 1412,Bovidae,Tragelaphus strepsiceros chora,Tragelaphus strepsiceros,Male,12.273,13,13,19.187,19.431,19.27,18.206,17.885,18.206,19.618,19.57,19.54,24.124,24.32,24.52,37.789,37.479,37.62
FMNH 26932,Bovidae,Tragelaphus strepsiceros chora,Tragelaphus strepsiceros,Male,12.393,12.893,12.728,19.16,19.413,19.038,19.307,19.451,19.408,21.487,21.978,21.65,25.973,26.153,26.107,36.365,36.507,36.401
FMNH 34431,Bovidae,Tragelaphus strepsiceros strepsiceros,Tragelaphus strepsiceros,Male,12.634,12.529,12.681,16.964,17.023,17.002,17.019,16.837,16.94,19.429,19.231,19.429,24.014,23.932,23.945,33.649,33.717,33.701
FMNH 48935,Tragulidae,Tragulus fucalinus,Tragulus fucalinus,Female,5.798,5.73,6.076,6.608,6.168,5.986,6.374,5.839,5.823,6.498,6.913,6.913,7.339,7.339,6.881,9.914,10.595,10.759
FMNH 68769,Tragulidae,Tragulus j. borneanus,Tragulus javanicus,Unknown,6.009,6.064,5.875,7.379,7.016,6.559,7.752,7.149,7.372,5.842,6.271,6.703,7.461,7.309,7.523,9.983,10.123,9.819
FMNH 98652,Tragulidae,Tragulus j.ravus,Tragulus javanicus,Male,4.809,4.566,4.612,5.672,5.576,5.672,6.22,6.467,6.467,6.966,6.741,6.852,7.012,7.114,7.203,8.034,8.143,8.254
FMNH 85915,Tragulidae,Tragulus javanicus borneanus,Tragulus javanicus,Female,5.434,5.709,5.401,6.815,6.815,6.91,6.657,6.402,6.53,6.79,6.991,6.478,7.179,7.443,7.001,9.197,9.377,9.412
FMNH 38013,Tragulidae,Tragulus k. affinis ,Tragulus kanchil,Male,5.848,5.629,5.407,6.291,5.959,6.071,5.407,5.087,5.408,5.68,6.041,5.858,6.262,6.667,6.691,9.405,9.534,9.328
FMNH 33529,Tragulidae,Tragulus kanchil kossi,Tragulus kanchil,Female,5.2,5.165,4.927,5.73,5.991,6.071,5.573,5.781,5.693,5.055,5.51,5.388,6.056,6.558,6.332,8.878,8.324,8.511
FMNH 11318,Tragulidae,Tragulus napu nigricans,Tragulus napu,Male,4.629,4.744,4.516,5.393,5.464,5.778,4.995,4.668,5.014,5.137,5.497,4.969,6.392,6.916,6.497,9.685,9.254,9.809
