,LIDNUM,NAME,LOC_SYNONYMS,COUNTRY,STATE,COUNTY,BFA_MAX,BFA_MIN,MAX_AGE,MIN_AGE,CHRON,
11976,10503,Central Great Plains CP132A,CP132A,United States of America,KS,,blancan-late,blancan-late,2.63,1.8,L Bl,
11978,10504,Central Great Plains CP132B,CP132B,United States of America,KS,,blancan-late,blancan-late,2.63,1.8,L Bl,
12006,10505,Central Great Plains CP132C,CP132C,United States of America,KS,,blancan-late,irvingtonian-1,2.63,0.9,L Bl-E Ir,
12022,10506,Central Great Plains CP132D,CP132D,United States of America,KS,,blancan-late,irvingtonian-1,2.63,0.9,L Bl-E Ir,
12033,10507,Central Great Plains CP132II,CP132II,United States of America,KS,,blancan-late,irvingtonian-1,2.63,0.9,L Bl-E Ir,
12034,10162,Central Great Plains CP13A,CP13A,United States of America,WY,,puercan-1,puercan-3,66.04,64.81,Pu1-Pu3,
12041,10163,Central Great Plains CP13B,CP13B,United States of America,WY,Park,torrejonian-3,torrejonian-3,62.52,62.22,To3,
12090,10164,Central Great Plains CP13C,CP13C,United States of America,WY,,torrejonian-3,torrejonian-3,62.52,62.22,To3,
12126,10165,Central Great Plains CP13D,CP13D,United States of America,WY,,tiffanian-2,tiffanian-2,61.61,59.61,Ti2,
12141,10166,Central Great Plains CP13E,CP13E,United States of America,WY,Park:BigHorn,tiffanian-3,tiffanian-3,59.61,58.63,Ti3,
12185,10167,Central Great Plains CP13EE,CP13EE,United States of America,WY,,tiffanian-3,tiffanian-5,59.61,57.66,Ti3-Ti5,
12186,10168,Central Great Plains CP13F,CP13F,United States of America,WY,Park:Carbon:Big Horn,tiffanian-4,tiffanian-4,58.63,58.24,Ti4,
12203,10169,Central Great Plains CP13G,CP13G,United States of America,WY,Park,tiffanian-5,tiffanian-5,58.24,57.66,Ti5,
12259,10170,Central Great Plains CP13H,CP13H,United States of America,WY,Big Horn: Park,clarkforkian-2,clarkforkian-2,57.04,56.54,Cf2,
12281,10171,Central Great Plains CP13IIA,CP13IIA,United States of America,WY,,torrejonian-3,tiffanian-1,62.52,61.61,To3-Ti1,
12317,10172,Central Great Plains CP13IIA1,CP13IIA1,United States of America,WY,,tiffanian-3,tiffanian-3,59.61,58.63,Ti3,
12321,10174,Central Great Plains CP13IIB,CP13IIB,United States of America,WY,,torrejonian-3,tiffanian-1,62.52,61.61,To3-Ti1,
12336,10175,Central Great Plains CP13IIC,CP13IIC,United States of America,WY,,tiffanian-3,tiffanian-5,59.61,57.66,Ti3-Ti5,
12340,10176,Central Great Plains CP14A,CP14A,United States of America,WY,,torrejonian-3,torrejonian-3,62.52,62.22,To3,
12390,10177,Central Great Plains CP14B,CP14B,United States of America,WY,Sweetwater,torrejonian-3,torrejonian-3,62.52,62.22,To3,
12407,10178,Central Great Plains CP14C,CP14C,United States of America,WY,Sweetwater,tiffanian-4,tiffanian-4,58.63,58.24,Ti4,
12434,10179,Central Great Plains CP14D,CP14D,United States of America,WY,Sweetwater,tiffanian-5,tiffanian-5,58.24,57.66,Ti5,
12456,10180,Central Great Plains CP14E,CP14E,United States of America,WY,Sweetwater,clarkforkian-2,clarkforkian-2,57.04,56.54,Cf2,
12496,10181,Central Great Plains CP14F,CP14F,United States of America,WY,,clarkforkian-2,clarkforkian-2,57.04,56.54,Cf2,
12503,10182,Central Great Plains CP15A,CP15A,United States of America,WY,Fremont,tiffanian-1,tiffanian-1,62.22,61.61,Ti1,
12545,10183,Central Great Plains CP15B,CP15B,United States of America,WY,Natrona?:Fremont?,tiffanian-4,tiffanian-4,58.63,58.24,Ti4,
12567,10184,Central Great Plains CP15C,CP15C,United States of America,WY,Fremont,clarkforkian-2,clarkforkian-2,57.04,56.54,Cf2,
12570,10185,Central Great Plains CP16A,CP16A,United States of America,WY,Fremont,tiffanian-2,tiffanian-2,61.61,59.61,Ti2,
12604,10186,Central Great Plains CP16B,CP16B,United States of America,WY,Fremont,tiffanian-3,tiffanian-3,59.61,58.63,Ti3,
12619,10187,Central Great Plains CP16C,CP16C,United States of America,WY,Fremont,tiffanian-5,tiffanian-5,58.24,57.66,Ti5,
12628,10188,Central Great Plains CP17A,CP17A,United States of America,WY,Park,clarkforkian-1,clarkforkian-1,57.24,57.04,Cf1,
12667,28370,Central Great Plains CP17A0,CP17A0,United States of America,NA,NA,tiffanian-6,clarkforkian-1,57.66,57.04,NA,
12669,10190,Central Great Plains CP17B,CP17B,United States of America,WY,Park,clarkforkian-2,clarkforkian-3,57.04,55.96,Cf2-Cf3,
12745,10191,Central Great Plains CP18A,CP18A,United States of America,WY,,tiffanian-6,tiffanian-6,57.66,57.24,Ti6,
12757,10192,Central Great Plains CP18B,CP18B,United States of America,WY,,clarkforkian-3,clarkforkian-3,56.54,55.96,Cf3,
12810,10193,Central Great Plains CP19A,CP19A,United States of America,WY,Washakie:BighornPark,wasatchian-1,wasatchian-2,55.79,55.07,Wa1-Wa2,
12896,10194,Central Great Plains CP19AA,CP19AA,United States of America,WY,,wasatchian-0,wasatchian-0,55.96,55.79,Wa1,
12907,10195,Central Great Plains CP19B,CP19B,United States of America,WY,,wasatchian-1,wasatchian-2,55.79,55.07,Wa1-Wa2,
12928,10196,Central Great Plains CP19C,CP19C,United States of America,WY,,wasatchian-4,wasatchian-5,54.61,53.42,Wa4-Wa5,
12945,10197,Central Great Plains CP19D,CP19D,United States of America,WY,,wasatchian-6,wasatchian-6,53.42,53.07,Wa6,
12949,10198,Central Great Plains CP19E,CP19E,United States of America,WY,,wasatchian-7,wasatchian-7,53.07,52.11,Wa7,
12951,10199,Central Great Plains CP19II,CP19II,United States of America,WY,,wasatchian-4,wasatchian-5,54.61,53.42,Wa4-Wa5,
12953,10131,Central Great Plains CP1A,CP1A,United States of America,UT,,puercan-2,puercan-2,65.83,64.1,Pu2,
12973,10132,Central Great Plains CP1B,CP1B,United States of America,UT,,puercan-3,puercan-3,64.1,64.81,Pu3,
12993,10133,Central Great Plains CP1C,CP1C,United States of America,UT,Wasatch Plateau,torrejonian-1,torrejonian-1,64.81,63.49,To1,
13028,10134,Central Great Plains CP2,CP2,United States of America,UT,,tiffanian-1,tiffanian-6,62.22,57.24,Ti1-Ti6,
13029,10200,Central Great Plains CP20A,CP20A,United States of America,WY,Big Horn and Washaki,wasatchian-0,wasatchian-4,55.96,54.05,Wa0-Wa4,
13173,10201,Central Great Plains CP20AA,CP20AA,United States of America,WY,,wasatchian-0,wasatchian-0,55.96,55.79,Wa0,
13204,10202,Central Great Plains CP20B,CP20B,United States of America,WY,Big Horn and Park,wasatchian-5,wasatchian-5,54.05,53.42,Wa5,
13269,10203,Central Great Plains CP20BB,CP20BB,United States of America,WY,,wasatchian-4,wasatchian-5,54.61,53.42,Wa4-Wa5,
13330,10204,Central Great Plains CP20C,CP20C,United States of America,WY,Big Horn and Park,wasatchian-6,wasatchian-6,53.42,53.07,Wa6,
13404,10205,Central Great Plains CP20D,CP20D,United States of America,WY,Big Horn and Park,wasatchian-7,wasatchian-7,53.07,52.11,Wa7,
13442,10206,Central Great Plains CP20E,CP20E,United States of America,WY,Park,wasatchian-7,wasatchian-7,53.07,52.11,Wa7,
13467,10207,Central Great Plains CP20F,CP20F,United States of America,WY,Park,bridgerian-1,bridgerian-1,51.91,49.27,Br1,
13479,10208,Central Great Plains CP21A,CP21A,United States of America,WY,Lincoln,tiffanian-1,tiffanian-1,62.22,61.61,Ti1,
13492,10209,Central Great Plains CP21B,CP21B,United States of America,WY,Lincoln,tiffanian-3,tiffanian-3,59.61,58.63,Ti3,
13502,10210,Central Great Plains CP22A,CP22A,United States of America,WY,Sublette and Teton,tiffanian-3,tiffanian-3,59.61,58.63,Ti3,
13514,10211,Central Great Plains CP22B,CP22B,United States of America,WY,Sublette and Teton,tiffanian-5,tiffanian-5,58.24,57.66,Ti5,
13531,10212,Central Great Plains CP22C,CP22C,United States of America,WY,Sublette and Teton,clarkforkian-2,clarkforkian-2,57.04,56.54,Cf2,
13536,10213,Central Great Plains CP23A,CP23A,United States of America,WY,Sublette and Teton,wasatchian-2,wasatchian-3,55.54,54.61,Wa2-Wa3,
13543,10214,Central Great Plains CP23B,CP23B,United States of America,WY,Sublette and Teton,wasatchian-4,wasatchian-5,54.61,53.42,Wa4-Wa5,
13546,10215,Central Great Plains CP24A,CP24A,United States of America,WY,Lincoln,tiffanian-3,tiffanian-3,59.61,58.63,Ti3,
13580,10216,Central Great Plains CP24B,CP24B,United States of America,WY,Lincoln,clarkforkian-2,clarkforkian-2,57.04,56.54,Cf2,
13600,10217,Central Great Plains CP24C,CP24C,United States of America,WY,Lincoln,wasatchian-1,wasatchian-1,55.79,55.54,Wa1,
13604,10218,Central Great Plains CP25A,CP25A,United States of America,WY,Sweetwater,wasatchian-1,wasatchian-4,55.79,54.05,Wa1-Wa4,
13638,10219,Central Great Plains CP25B,CP25B,United States of America,WY,Johnson,wasatchian-1,wasatchian-4,55.79,54.05,Wa1-Wa4,
13691,10220,Central Great Plains CP25C,CP25C,United States of America,WY,Sweetwater,wasatchian-1,wasatchian-4,55.79,54.05,Wa1-Wa4,
13717,10221,Central Great Plains CP25D,CP25D,United States of America,WY,Lincoln,wasatchian-1,wasatchian-4,55.79,54.05,Wa1-Wa4,
13736,10222,Central Great Plains CP25E,CP25E,United States of America,WY,Lincoln,wasatchian-5,wasatchian-6,54.05,53.07,Wa5-Wa6,
13759,10223,Central Great Plains CP25F,CP25F,United States of America,WY,,wasatchian-7,wasatchian-7,53.07,52.11,Wa7,
13789,10224,Central Great Plains CP25G,CP25G,United States of America,WY,,wasatchian-7,wasatchian-7,53.07,52.11,Wa7,
13841,10225,Central Great Plains CP25GG,CP25GG,United States of America,WY,,wasatchian-7,wasatchian-7,53.07,52.11,Wa7,
13864,10226,Central Great Plains CP25H,CP25H,United States of America,WY,Sublette,wasatchian-7,wasatchian-7,53.07,52.11,WA7,
13907,10227,Central Great Plains CP25I,CP25I,United States of America,WY,Sweetwater,bridgerian-1,bridgerian-1,51.91,49.27,Br1,
13928,10228,Central Great Plains CP25I1,CP25I1,United States of America,WY,,wasatchian-7,wasatchian-7,53.07,52.11,Wa7,
13934,10229,Central Great Plains CP25I2,CP25I2,United States of America,WY,,wasatchian-7,wasatchian-7,53.07,52.11,Wa7,
13949,10230,Central Great Plains CP25J,CP25J,United States of America,WY,Sublette,bridgerian-1,bridgerian-1,51.91,49.27,Br1,
14012,10231,Central Great Plains CP25J2,CP25J2,United States of America,WY,,bridgerian-1,bridgerian-1,51.91,49.27,Br1,
14048,10232,Central Great Plains CP26A,CP26A,United States of America,WY,,tiffanian-3,tiffanian-3,59.61,58.63,Ti3,
14071,10233,Central Great Plains CP26B,CP26B,United States of America,WY,,tiffanian-6,clarkforkian-1,57.66,57.04,Ti6-Cf1,
14078,10234,Central Great Plains CP26C,CP26C,United States of America,WY,,clarkforkian-2,clarkforkian-2,57.04,56.54,Cf2,
14111,10235,Central Great Plains CP26D,CP26D,United States of America,WY,,wasatchian-2,wasatchian-3,55.54,54.61,Wa2-Wa3,
14119,10236,Central Great Plains CP27A,CP27A,United States of America,WY,Albany,wasatchian-3,wasatchian-5,55.07,53.42,Wa3-Wa5,
14144,10237,Central Great Plains CP27B,CP27B,United States of America,WY,,wasatchian-6,wasatchian-6,53.42,53.07,Wa6,
14215,10238,Central Great Plains CP27C,CP27C,United States of America,WY,,wasatchian-7,bridgerian-1,53.07,49.27,Wa7-Br1,
14242,10239,Central Great Plains CP27D,CP27D,United States of America,WY,Natrona and Fremont,wasatchian-7,wasatchian-7,53.07,52.11,Wa7,
14348,10240,Central Great Plains CP27E,CP27E,United States of America,WY,Natrona,bridgerian-0,bridgerian-0,52.11,51.91,Br0,
14436,10241,Central Great Plains CP28A,CP28A,United States of America,WY,Natrona,wasatchian-6,wasatchian-6,53.42,53.07,Wa6,
14448,10242,Central Great Plains CP28B,CP28B,United States of America,WY,Natrona,wasatchian-7,wasatchian-7,53.07,52.11,Wa7,
14457,10243,Central Great Plains CP28C,CP28C,United States of America,WY,Natrona,wasatchian-7,wasatchian-7,53.07,52.11,Wa7,
14466,10244,Central Great Plains CP29A,CP29A,United States of America,WY,Natrona and Fremont,bridgerian-2,bridgerian-2,49.27,48.64,Br2,
14468,10245,Central Great Plains CP29B,CP29B,United States of America,WY,Natrona and Fremont,uintan-2,uintan-2,45.38,42.78,Ui2,
14472,10246,Central Great Plains CP29C,CP29C,United States of America,WY,Natrona,uintan-3,uintan-3,42.78,39.83,Ui3,
14523,10247,Central Great Plains CP29D,CP29D,United States of America,WY,Natrona and Fremont,duchesnean,duchesnean,39.83,37.39,Du,
14565,10248,Central Great Plains CP29E,CP29E,United States of America,WY,,orellan-4,whitneyan-1,32.5,31.4,Or4-Wh1,
14567,10135,Central Great Plains CP3,CP3,United States of America,UT,,wasatchian-1,wasatchian-7,55.79,52.11,?Wa1-Wa7,
14568,10249,Central Great Plains CP30,CP30,United States of America,WY,,wasatchian-7,wasatchian-7,53.07,52.11,Wa7,
14569,10250,Central Great Plains CP31A,CP31A,United States of America,WY,,wasatchian-7,bridgerian-1,53.07,49.27,Wa7-Br1,
14580,10251,Central Great Plains CP31B,CP31B,United States of America,WY,,wasatchian-7,bridgerian-1,53.07,49.27,Wa7-Br1,
14592,10252,Central Great Plains CP31C,CP31C,United States of America,WY,,bridgerian-1,bridgerian-1,51.91,49.27,Br1,
14613,10253,Central Great Plains CP31D,CP31D,United States of America,WY,Park,bridgerian-1,bridgerian-1,51.91,49.27,Br1,
14620,10254,Central Great Plains CP31E,CP31E,United States of America,WY,Park,bridgerian-2,bridgerian-2,49.27,48.64,Br2,
14681,10255,Central Great Plains CP32A,CP32A,United States of America,WY,Park,wasatchian-7,wasatchian-7,53.07,52.11,?Wa7,
14683,10256,Central Great Plains CP32B,CP32B,United States of America,WY,,bridgerian-2,bridgerian-2,49.27,48.64,Br2,
14710,10257,Central Great Plains CP33A,CP33A,United States of America,WY,,wasatchian-7,wasatchian-7,53.07,52.11,Wa7,
14712,10259,Central Great Plains CP33B,CP33B,United States of America,WY,,bridgerian-1,bridgerian-1,51.91,49.27,?Br1,
14718,10260,Central Great Plains CP33C,CP33C,United States of America,WY,,bridgerian-1,bridgerian-1,51.91,49.27,?Br1,
14720,10261,Central Great Plains CP34A,CP34A,United States of America,WY,Sublette,bridgerian-1,bridgerian-1,51.91,49.27,Br1,
14781,10262,Central Great Plains CP34B,CP34B,United States of America,WY,Sublette,bridgerian-2,bridgerian-2,49.27,48.64,Br2,
14832,10263,Central Great Plains CP34C,CP34C,United States of America,WY,Sweetwater (others?),bridgerian-2,bridgerian-2,49.27,48.64,Br2,
14959,10264,Central Great Plains CP34D,CP34D,United States of America,WY,Sublette and Uinta,bridgerian-3,bridgerian-3,48.64,47.96,Br3,
15061,10265,Central Great Plains CP34E,CP34E,United States of America,WY,,uintan-1,uintan-1,47.96,45.38,Ui1,
15086,10266,Central Great Plains CP35,CP35,United States of America,WY,,bridgerian-3,bridgerian-3,48.64,47.96,Br3,
15107,10267,Central Great Plains CP36A,CP36A,United States of America,WY,,bridgerian-3,bridgerian-3,48.64,47.96,Br3,
15116,10268,Central Great Plains CP36B,CP36B,United States of America,WY,,uintan-1,uintan-1,47.96,45.38,Ui1,
15148,10269,Central Great Plains CP37A,CP37A,United States of America,WY,,uintan-2,uintan-2,45.38,42.78,Ui2,
15154,10270,Central Great Plains CP37B,CP37B,United States of America,WY,,uintan-3,uintan-3,42.78,39.83,Ui3,
15166,10271,Central Great Plains CP38A,CP38A,United States of America,WY,Sweetwater,bridgerian-2,bridgerian-2,49.27,48.64,Br2,
15175,10272,Central Great Plains CP38B,CP38B,United States of America,WY,Sweetwater,bridgerian-3,bridgerian-3,48.64,47.96,Br3,
15215,10273,Central Great Plains CP38C,CP38C,United States of America,WY,Sweetwater,uintan-1,uintan-1,47.96,45.38,Ui1,
15249,10274,Central Great Plains CP38D,CP38D,United States of America,WY,Sweetwater,uintan-2,uintan-2,45.38,42.78,Ui2,
15256,10275,Central Great Plains CP39A,CP39A,United States of America,WY,Natrona and Converse,duchesnean,chadronian-1,39.83,35.92,Du-Ch1,
15268,10276,Central Great Plains CP39B,CP39B,United States of America,WY,Natrona and Converse,chadronian-2,chadronian-3,35.92,34.7,Ch2-Ch3,
15314,10277,Central Great Plains CP39C,CP39C,United States of America,WY,Natrona and Converse,chadronian-3,chadronian-3,35.24,34.7,Ch3,
15374,10278,Central Great Plains CP39D,CP39D,United States of America,WY,Natrona,chadronian-2,chadronian-2,35.92,35.24,Ch2,
15390,10279,Central Great Plains CP39E,CP39E,United States of America,WY,Natrona and Converse,chadronian-2,chadronian-3,35.92,34.7,Ch2-Ch3,
15421,10280,Central Great Plains CP39F,CP39F,United States of America,WY,Natrona and Converse,chadronian-3,chadronian-4,35.24,33.9,Ch3-Ch4,
15452,10281,Central Great Plains CP39G,CP39G,United States of America,WY,Natrona,chadronian-4,chadronian-4,34.7,33.9,Ch4,
15468,10282,Central Great Plains CP39H,CP39H,United States of America,WY,Natrona and Converse,orellan-1,orellan-4,33.9,32.1,Or1-Or4,
15471,10283,Central Great Plains CP39I,CP39I,United States of America,WY,Natrona and Converse,whitneyan-1,whitneyan-2,32.1,29.75,Wh1-Wh2,
15472,10284,Central Great Plains CP39IIA,CP39IIA,United States of America,WY,,chadronian-1,chadronian-1,37.39,35.92,Ch1,
15487,10285,Central Great Plains CP39IIB,CP39IIB,United States of America,WY,Fremont,chadronian-2,chadronian-2,35.92,35.24,Ch2,
15494,10286,Central Great Plains CP39IIC,CP39IIC,United States of America,WY,Fremont,chadronian-4,chadronian-4,34.7,33.9,Ch4,
15504,10136,Central Great Plains CP4,CP4,United States of America,UT,,wasatchian-6,wasatchian-7,53.42,52.11,Wa6-Wa7,
15506,10287,Central Great Plains CP40A,CP40A,United States of America,WY,Converse,chadronian-4,chadronian-4,34.7,33.9,Ch4,
15524,10288,Central Great Plains CP40B,CP40B,United States of America,WY,Converse,orellan-1,orellan-4,33.9,32.1,Or1-Or4,
15545,10289,Central Great Plains CP41A,CP41A,United States of America,WY,Niobrara,chadronian-4,chadronian-4,34.7,33.9,Ch4,
15573,10290,Central Great Plains CP41B,CP41B,United States of America,WY,Niobrara,orellan-1,orellan-4,33.9,32.1,Or1-Or4,
15603,10291,Central Great Plains CP41C,CP41C,United States of America,WY,Niobrara,whitneyan-1,whitneyan-2,32.1,29.75,Wh1-Wh2,
15612,10293,Central Great Plains CP42A,CP42A,United States of America,WY,Goshen,chadronian-2,chadronian-2,35.92,35.24,Ch2,
15641,10294,Central Great Plains CP42B,CP42B,United States of America,WY,Goshen,chadronian-2,chadronian-3,35.92,34.7,Ch2-Ch3,
15647,10295,Central Great Plains CP42C,CP42C,United States of America,WY,Goshen,orellan-1,orellan-4,33.9,32.1,Or1-Or4,
15652,10296,Central Great Plains CP42D,CP42D,United States of America,WY,Goshen,whitneyan-2,arikareean-1,31.4,28,Wh2-Ar1,
15671,10297,Central Great Plains CP43,CP43,United States of America,WY,,chadronian-3,chadronian-3,35.24,34.7,Ch3,
15685,10298,Central Great Plains CP44,CP44,United States of America,WY,,chadronian-3,chadronian-3,35.24,34.7,Ch3,
15695,10299,Central Great Plains CP45A,CP45A,United States of America,WY,Teton,chadronian-2,chadronian-2,35.92,35.24,Ch2,
15706,10300,Central Great Plains CP45B,CP45B,United States of America,WY,Teton,arikareean-2,arikareean-2,28,22.2,Ar2,
15711,10301,Central Great Plains CP45C,CP45C,United States of America,WY,Teton,arikareean-4,arikareean-4,19.09,18.5,Ar4,
15712,10302,Central Great Plains CP45D,CP45D,United States of America,WY,Teton,hemingfordian-1,hemingfordian-1,18.5,17.34,He1,
15716,10303,Central Great Plains CP45E,CP45E,United States of America,WY,Teton,barstovian-2,barstovian-2,14.78,12.57,Ba2,
15736,10304,Central Great Plains CP46,CP46,United States of America,WY,,orellan-1,orellan-4,33.9,32.1,Or1-Or4,
15767,10305,Central Great Plains CP46II,CP46II,United States of America,WY,,whitneyan-1,whitneyan-2,32.1,29.75,Wh1-Wh2,
15768,10306,Central Great Plains CP47,CP47,United States of America,WY,,arikareean-1,arikareean-1,29.75,28,Ar1,
15774,10307,Central Great Plains CP48,CP48,United States of America,WY,,arikareean-1,arikareean-1,29.75,28,Ar1,
15806,10308,Central Great Plains CP49A,CP49A,United States of America,WY,,arikareean-1,arikareean-1,29.75,28,Ar1,
15812,10309,Central Great Plains CP49B,CP49B,United States of America,WY,Niobrara,arikareean-2,arikareean-2,28,22.2,Ar2,
15823,10310,Central Great Plains CP49C,CP49C,United States of America,WY,Laramie,hemingfordian-2,barstovian-1,17.34,14.78,He2-Ba1,
15826,10311,Central Great Plains CP49D,CP49D,United States of America,WY,,barstovian-2,barstovian-2,14.78,12.57,Ba2,
15827,10312,Central Great Plains CP50,CP50,United States of America,WY,,arikareean-2,arikareean-2,28,22.2,Ar2,
15851,10313,Central Great Plains CP51A,CP51A,United States of America,WY,NiobraraGoshenPlatte,arikareean-4,arikareean-4,19.09,18.5,Ar4,
15889,10314,Central Great Plains CP51B,CP51B,United States of America,WY,,hemingfordian-1,hemingfordian-1,18.5,17.34,He1,
15900,10315,Central Great Plains CP52,CP52,United States of America,WY,Niobrara,arikareean-3,arikareean-3,22.2,19.09,Ar3,
15946,10316,Central Great Plains CP53,CP53,United States of America,WY,,arikareean-4,arikareean-4,19.09,18.5,Ar4,
15953,10317,Central Great Plains CP53II,CP53II,United States of America,WY,,hemingfordian-1,hemingfordian-1,18.5,17.34,He1,
15954,10318,Central Great Plains CP54A,CP54A,United States of America,WY,,hemingfordian-1,hemingfordian-1,18.5,17.34,He1,
15957,10319,Central Great Plains CP54B,CP54B,United States of America,WY,,hemingfordian-2,hemingfordian-2,17.34,15.97,He2,
15991,10320,Central Great Plains CP54C,CP54C,United States of America,WY,,clarendonian-2,clarendonian-2,12.11,10.09,Cl2,
15994,10321,Central Great Plains CP54II,CP54II,United States of America,WY,,hemingfordian-2,hemingfordian-2,17.34,15.97,He2,
16001,10322,Central Great Plains CP55,CP55,United States of America,WY,Carbon,barstovian-1,barstovian-2,15.97,12.57,Ba1-Ba2,
16003,10323,Central Great Plains CP56,CP56,United States of America,WY,Laramie and Goshen,barstovian-2,barstovian-2,14.78,12.57,Ba2,
16021,10324,Central Great Plains CP56IIA,CP56IIA,United States of America,WY,,barstovian-2,clarendonian-1,14.78,12.11,Ba2-Cl1,
16030,10325,Central Great Plains CP56IIB,CP56IIB,United States of America,WY,,barstovian-2,clarendonian-1,14.78,12.11,Ba2-Cl1,
16043,10326,Central Great Plains CP58,CP58,United States of America,WY,,hemphillian-1,hemphillian-1,9.07,7.59,Hh1,
16045,10327,Central Great Plains CP59A,CP59A,United States of America,WY,,hemphillian-2,hemphillian-2,7.59,6.88,Hh2,
16046,10137,Central Great Plains CP5A,CP5A,United States of America,UT,Power Wash,bridgerian-1,bridgerian-1,51.91,49.27,Br1,
16097,10138,Central Great Plains CP5B,CP5B,United States of America,UT,Sanpete,duchesnean,duchesnean,39.83,37.39,Du,
16098,10139,Central Great Plains CP5II,CP5II,United States of America,UT,,duchesnean,duchesnean,39.83,37.39,Du,
16113,10330,Central Great Plains CP61A,CP61A,United States of America,CO,,puercan-1,puercan-1,66.04,65.83,Pu1,
16124,10331,Central Great Plains CP61B,CP61B,United States of America,CO,,puercan-2,puercan-3,65.83,64.81,Pu2-Pu3,
16134,10332,Central Great Plains CP62A,CP62A,United States of America,CO,,tiffanian-3,tiffanian-4,59.61,58.24,Ti3-Ti4,
16141,10333,Central Great Plains CP62A2,CP62A2,United States of America,CO,,tiffanian-6,clarkforkian-1,57.66,57.04,Ti6-Cf1,
16143,10334,Central Great Plains CP62B,CP62B,United States of America,CO,,clarkforkian-1,clarkforkian-1,57.24,57.04,Cf1,
16165,10335,Central Great Plains CP62C,CP62C,United States of America,CO,,clarkforkian-3,clarkforkian-3,56.54,55.96,Cf3,
16178,10336,Central Great Plains CP63,CP63,United States of America,CO,,wasatchian-1,wasatchian-3,55.79,54.61,Wa1-Wa3,
16240,10337,Central Great Plains CP64A,CP64A,United States of America,CO,,wasatchian-2,wasatchian-3,55.54,54.61,Wa2-Wa3,
16275,10341,Central Great Plains CP64B,CP64B,United States of America,CO,,wasatchian-5,wasatchian-6,54.05,53.07,Wa5-Wa6,
16332,10342,Central Great Plains CP64C,CP64C,United States of America,CO,,wasatchian-7,wasatchian-7,53.07,52.11,Wa7,
16367,10343,Central Great Plains CP64D,CP64D,United States of America,CO,,bridgerian-1,bridgerian-1,51.91,49.27,?Br1,
16368,10344,Central Great Plains CP64II,CP64II,United States of America,CO,,uintan-1,uintan-3,47.96,39.83,Ui1-Ui3,
16369,10345,Central Great Plains CP64IIIA,CP64IIIA,United States of America,CO,,bridgerian-1,bridgerian-1,51.91,49.27,?Br1,
16370,10347,Central Great Plains CP65,CP65,United States of America,CO,,uintan-1,uintan-1,47.96,45.38,Ui1,
16405,10348,Central Great Plains CP66,CP66,United States of America,CO,,chadronian-4,chadronian-4,34.7,33.9,Ch4,
16406,10349,Central Great Plains CP67,CP67,United States of America,CO,,chadronian-3,chadronian-3,35.24,34.7,Ch3,
16412,10350,Central Great Plains CP68A,CP68A,United States of America,CO,,chadronian-3,chadronian-3,35.24,34.7,Ch3,
16413,10351,Central Great Plains CP68B,CP68B,United States of America,CO,,chadronian-4,chadronian-4,34.7,33.9,Ch4,
16452,10352,Central Great Plains CP68C,CP68C,United States of America,CO,Logan,orellan-1,orellan-4,33.9,32.1,Or1-Or4,
16524,10353,Central Great Plains CP68D,CP68D,United States of America,CO,,whitneyan-2,whitneyan-2,31.4,29.75,Wh2,
16541,10354,Central Great Plains CP69,CP69,United States of America,CO,,arikareean-3,arikareean-4,22.2,18.5,Ar3-Ar4,
16545,10355,Central Great Plains CP69II,CP69II,United States of America,CO,,arikareean-3,arikareean-3,22.2,19.09,Ar3,
16546,10140,Central Great Plains CP6A,CP6A,United States of America,UT,Uinta,uintan-2,uintan-2,45.38,42.78,Ui2,
16597,10141,Central Great Plains CP6AA,CP6AA,United States of America,UT,,uintan-2,uintan-2,45.38,42.78,Ui2,
16614,10142,Central Great Plains CP6B,CP6B,United States of America,UT,Uinta,uintan-3,uintan-3,42.78,39.83,Ui3,
16675,10357,Central Great Plains CP71,CP71,United States of America,CO,Weld,hemingfordian-1,hemingfordian-1,18.5,17.34,He1,
16717,10358,Central Great Plains CP72A,CP72A,United States of America,CO,,hemingfordian-1,hemingfordian-1,18.5,17.34,He1,
16718,10359,Central Great Plains CP72B,CP72B,United States of America,CO,,hemingfordian-2,hemingfordian-2,17.34,15.97,He2,
16722,10360,Central Great Plains CP73A,CP73A,United States of America,CO,,arikareean-3,arikareean-3,22.2,19.09,Ar3,
16724,10361,Central Great Plains CP73B,CP73B,United States of America,CO,,hemingfordian-1,hemingfordian-2,18.5,15.97,He1-He2,
16726,10362,Central Great Plains CP73C,CP73C,United States of America,CO,,barstovian-2,barstovian-2,14.78,12.57,Ba2,
16728,10363,Central Great Plains CP73D,CP73D,United States of America,CO,,barstovian-2,barstovian-2,14.78,12.57,Ba2,
16734,10364,Central Great Plains CP73E,CP73E,United States of America,CO,,clarendonian-3,clarendonian-3,10.09,9.07,Cl3,
16735,10365,Central Great Plains CP74A,CP74A,United States of America,CO,,hemingfordian-1,hemingfordian-1,18.5,17.34,He1,
16745,10367,Central Great Plains CP74B,CP74B,United States of America,CO,,barstovian-1,barstovian-1,15.97,14.78,Ba1,
16752,10368,Central Great Plains CP74C,CP74C,United States of America,CO,,clarendonian-2,clarendonian-2,12.11,10.09,Cl2,
16753,10370,Central Great Plains CP75B,CP75B,United States of America,CO,,barstovian-1,barstovian-1,15.97,14.78,Ba1,
