,LIDNUM,NAME,LOC_SYNONYMS,COUNTRY,STATE,COUNTY,BFA_MAX,BFA_MIN,MAX_AGE,MIN_AGE,CHRON,
7769,10092,California CC32B,CC32B,United States of America,CA,,clarendonian-3,clarendonian-3,10.09,9.07,Cl3,
7788,10093,California CC33,CC33,United States of America,CA,,clarendonian-3,clarendonian-3,10.09,9.07,Cl3,
7792,10094,California CC34,CC34,United States of America,CA,,clarendonian-2,clarendonian-2,12.11,10.09,Cl2,
7801,10095,California CC35A,CC35A,United States of America,CA,,clarendonian-3,clarendonian-3,10.09,9.07,Cl3,
7809,10096,California CC35B,CC35B,United States of America,CA,,hemphillian-1,hemphillian-1,9.07,7.59,Hh1,
7810,10097,California CC36,CC36,United States of America,CA,,hemphillian-3,hemphillian-3,6.88,5.91,Hh3,
7823,10098,California CC37,CC37,United States of America,CA,,hemphillian-4,hemphillian-4,5.91,4.91,Hh4,
7840,10099,California CC38,CC38,United States of America,CA,,hemphillian-2,hemphillian-2,7.59,6.88,Hh2,
7858,10101,California CC39B,CC39B,United States of America,CA,,hemphillian-2,hemphillian-2,7.59,6.88,Hh2,
7867,10016,California CC4,CC4,United States of America,CA,San Diego,uintan-1,uintan-1,47.96,45.38,Ui1,
7924,10102,California CC40,CC40,United States of America,CA,River Side,hemphillian-4,hemphillian-4,5.91,4.91,Hh4,
7943,10103,California CC41,CC41,United States of America,CA,,hemphillian-3,hemphillian-4,6.88,4.91,Hh3-Hh4,
7952,10104,California CC41II,CC41II,United States of America,CA,Sonoma,hemphillian-3,hemphillian-4,6.88,4.91,Hh3-Hh4,
7953,10105,California CC42,CC42,United States of America,CA,,blancan-early,blancan-early,4.91,2.63,E Bl,
7954,10106,California CC43A,CC43A,United States of America,CA,,blancan-early,blancan-early,4.91,2.63,E Bl,
7960,10108,California CC44,CC44,United States of America,CA,Napa,blancan-early,blancan-early,4.91,2.63,E Bl,
7961,10109,California CC45,CC45,United States of America,CA,,blancan-early,blancan-early,4.91,2.63,E Bl,
7964,10110,California CC45II,CC45II,United States of America,CA,,blancan-early,blancan-late,4.91,1.8,E Bl-L Bl,
7965,10111,California CC46,CC46,United States of America,CA,Riverside,blancan-early,blancan-late,4.91,1.8,E Bl-L Bl,
7966,10112,California CC46II,CC46II,United States of America,CA,,blancan-late,blancan-late,2.63,1.8,L Bl,
7969,10113,California CC46III,CC46III,United States of America,CA,,blancan-late,blancan-late,2.63,1.8,?L Bl,
7970,10114,California CC47A,CC47A,United States of America,CA,,blancan-early,blancan-early,4.91,2.63,E Bl,
7975,10115,California CC47B,CC47B,United States of America,CA,,blancan-early,blancan-early,4.91,2.63,E Bl,
7981,10116,California CC47C,CC47C,United States of America,CA,,blancan-early,blancan-early,4.91,2.63,E Bl,
7991,10117,California CC47D,CC47D,United States of America,CA,,blancan-early,blancan-early,4.91,2.63,E Bl,
8005,10118,California CC48A,CC48A,United States of America,CA,Santa Clara,blancan-late,blancan-late,2.63,1.8,L Bl,
8012,10119,California CC48B,CC48B,United States of America,CA,,blancan-early,blancan-early,4.91,2.63,E Bl,
8018,10120,California CC48C,CC48C,United States of America,CA,,blancan-early,blancan-early,4.91,2.63,E Bl,
8027,10121,California CC49,CC49,United States of America,CA,,blancan-early,blancan-late,4.91,1.8,E Bl-L Bl,
8028,10122,California CC50,CC50,Mexico,Baja CA Norte,,wasatchian-1,wasatchian-1,55.79,55.54,Wa1,
8044,10123,California CC51,CC51,Mexico,Baja CA Sur,,hemingfordian-1,hemingfordian-1,18.5,17.34,? He1,
8045,10124,California CC52,CC52,Mexico,Baja CA Norte,,hemingfordian-1,barstovian-1,18.5,14.78,He1-Ba1,
8046,10125,California CC52II,CC52II,Mexico,Baja CA Sur,,blancan-early,blancan-early,4.91,2.63,E Bl,
8052,10126,California CC52III,CC52III,Mexico,Baja CA Sur,,blancan-early,blancan-late,4.91,1.8,E Bl-L Bl,
8055,10128,California CC53,CC53,Mexico,Baja CA Sur,,blancan-early,blancan-early,4.91,2.63,E Bl,
8066,10017,California CC6A,CC6A,United States of America,CA,,uintan-2,uintan-2,45.38,42.78,Ui2,
8083,10018,California CC6B,CC6B,United States of America,CA,,uintan-3,uintan-3,42.78,39.83,Ui3,
8099,10019,California CC7A,CC7A,United States of America,CA,San Diego,uintan-2,uintan-2,45.38,42.78,Ui2,
8109,10020,California CC7B,CC7B,United States of America,CA,San Diego,uintan-2,uintan-2,45.38,42.78,Ui2,
8151,10021,California CC7C,CC7C,United States of America,CA,San Diego,uintan-3,uintan-3,42.78,39.83,Ui3,
8178,10022,California CC7D,CC7D,United States of America,CA,San Diego,uintan-3,duchesnean,42.78,37.39,Ui3/Du,
8194,10023,California CC7E,CC7E,United States of America,CA,San Diego,duchesnean,duchesnean,39.83,37.39,Du,
8211,10024,California CC7F,CC7F,United States of America,CA,,duchesnean,duchesnean,39.83,37.39,Du,
8214,10025,California CC8,CC8,United States of America,CA,San Diego,uintan-3,uintan-3,42.78,39.83,Ui3,
8243,10026,California CC8IIA,CC8IIA,United States of America,CA,,uintan-3,uintan-3,42.78,39.83,Ui3,
8257,10027,California CC8IIB,CC8IIB,United States of America,CA,,duchesnean,chadronian-1,39.83,35.92,Du-Ch1,
8274,10028,California CC9A,CC9A,United States of America,CA,Ventura,uintan-3,uintan-3,42.78,39.83,Ui3,
8301,10029,California CC9A0,CC9A0,United States of America,CA,,uintan-3,uintan-3,42.78,39.83,Ui3,
8302,10030,California CC9AA,CC9AA,United States of America,CA,Ventura,uintan-3,uintan-3,42.78,39.83,Ui3,
8329,10031,California CC9B,CC9B,United States of America,CA,Ventura,uintan-3,duchesnean,42.78,37.39,Ui3-Du,
8344,10032,California CC9B2,CC9B2,United States of America,CA,Ventura,duchesnean,duchesnean,39.83,37.39,Du,
8355,10033,California CC9BB,CC9BB,United States of America,CA,Ventura,duchesnean,duchesnean,39.83,37.39,Du,
8374,10034,California CC9C,CC9C,United States of America,CA,Ventura,arikareean-1,arikareean-1,29.75,28,Ar1,
8395,10035,California CC9D,CC9D,United States of America,CA,Ventura,arikareean-1,arikareean-1,29.75,28,Ar1,
8408,10036,California CC9E,CC9E,United States of America,CA,Ventura,arikareean-2,arikareean-2,28,22.2,Ar2,
8409,10037,California CC9II,CC9II,United States of America,CA,Ventura,uintan-1,duchesnean,47.96,37.39,Ui1-Du,
8414,10038,California CC9IIIA,CC9IIIA,United States of America,CA,,arikareean-1,arikareean-1,29.75,28,Ar1,
8418,10039,California CC9IIIB,CC9IIIB,United States of America,CA,,hemingfordian-1,hemingfordian-1,18.5,17.34,He1,
8421,10040,California CC9IVA,CC9IVA,United States of America,CA,,uintan-3,uintan-3,42.78,39.83,Ui3,
8429,10041,California CC9IVB,CC9IVB,United States of America,CA,,arikareean-1,arikareean-1,29.75,28,Ar1,
8434,10042,California CC9IVC,CC9IVC,United States of America,CA,,arikareean-3,arikareean-4,22.2,18.5,Ar3-Ar4,
8452,10043,California CC9IVD,CC9IVD,United States of America,CA,,hemingfordian-1,hemingfordian-1,18.5,17.34,He1,
8999,10614,Canadian High Arctic HA1A,HA1A,Canada,Ellesmere Is,,wasatchian-1,bridgerian-2,55.79,48.64,Wa1-Br2,
9008,10615,Canadian High Arctic HA1A0,HA1A0,Canada,Ellesmere Is,,wasatchian-7,wasatchian-7,53.07,52.11,Wa7,
9010,10616,Canadian High Arctic HA1A2,HA1A2,Canada,Ellesmere Is,,wasatchian-1,wasatchian-7,55.79,52.11,Wa1-Wa7,
9037,10618,Canadian High Arctic HA1C,HA1C,Canada,Axel Heiberg Is,,uintan-1,duchesnean,47.96,37.39,Ui1-Du,
9038,10619,Canadian High Arctic HA2,HA2,Canada,Devon Is,,arikareean-3,arikareean-3,22.2,19.09,?Ar3,
9041,10620,Canadian High Arctic HA3,HA3,Canada,Ellesmere Is,,blancan-early,blancan-early,4.91,2.63,E Bl,
9162,28482,Cape Blanco,Cape Blanco: south: UCMP V-6922: UCMP V99574,United States of America,Oregon,Curry,pleistocene,pleistocene,2.58,0.0117,NA,
9185,28488,Capitola State Beach,,United States of America,California,Santa Cruz,piacenzian,piacenzian,3.6,2.58,NA,
9909,28480,Celite Company quarry 9,,United States of America,California,San Bernandino,messinian,messinian,7.246,5.333,NA,
9932,10001,Central America CA0,CA0,Mexico,,,arikareean-3,arikareean-4,22.2,18.5,Ar3-Ar4,
9933,10002,Central America CA1,CA1,Mexico,Oaxaca,,hemingfordian-1,hemingfordian-1,18.5,17.34,He1,
9945,10003,Central America CA2,CA2,Mexico,Oaxaca,,barstovian-1,barstovian-1,15.97,14.78,Ba1,
9949,10004,Central America CA2II,CA2II,Mexico,Oaxaca,,barstovian-1,barstovian-1,15.97,14.78,Ba1,
9968,10005,Central America CA2III,CA2III,Mexico,Oaxaca,,barstovian-2,barstovian-2,14.78,12.57,Ba2,
9972,10006,Central America CA3,CA3,Mexico,Chiapas,,barstovian-1,barstovian-1,15.97,14.78,? Ba1,
9975,10008,Central America CA6B,CA6B,Mexico,Yucatan,,hemphillian-3,hemphillian-3,6.88,5.91,Hh3,
9995,10129,Central East America CE1,CE1,United States of America,TN,,hemphillian-4,blancan-early,5.91,2.63,Hh4-E Bl,
10007,10130,Central East America CE2,CE2,United States of America,IN,,blancan-early,blancan-early,4.91,2.63,E Bl,
10020,10149,Central Great Plains CP10,CP10,United States of America,UT,,hemingfordian-2,hemingfordian-2,17.34,15.97,He2,
10023,10422,Central Great Plains CP100II,CP100II,United States of America,NE,,whitneyan-2,arikareean-1,31.4,28,Wh2-Ar1,
10024,10423,Central Great Plains CP100III,CP100III,United States of America,NE,,arikareean-1,arikareean-1,29.75,28,Ar1,
10025,10424,Central Great Plains CP101,CP101,United States of America,NE,,arikareean-1,arikareean-1,29.75,28,Ar1,
10086,10425,Central Great Plains CP102,CP102,United States of America,NE,,arikareean-2,arikareean-2,28,22.2,Ar2,
10100,10426,Central Great Plains CP103A,CP103A,United States of America,NE,,arikareean-3,arikareean-3,22.2,19.09,Ar3,
10162,10427,Central Great Plains CP103B,CP103B,United States of America,NE,,arikareean-3,arikareean-3,22.2,19.09,Ar3,
