specimen,family,name,species,gender,p2.1,p2.2,p2.3,p3.1,p3.2,p3.3,p4.1,p4.2,p4.3,m1.1,m1.2,m1.3,m2.1,m2.2,m2.3,m3.1,m3.2,m3.3
FMNH 25719,Bovidae,Boselaphus tragocamelus,Boselaphus tragocamelus,Male,6.959,7.286,7.432,9.313,9.318,8.864,9.625,9.746,9.809,12.391,12.391,12.077,13.752,14.334,14.484,13.901,13.982,14.106
FMNH 91223,Bovidae,Boselaphus tragocamelus,Boselaphus tragocamelus,Female,7.4,7.239,7.239,8.527,8.849,8.563,9.975,9.503,9.814,13.2,13.191,13.192,13.835,13.834,13.513,12.226,12.564,12.712
FMNH 91224,Bovidae,Boselaphus tragocamelus,Boselaphus tragocamelus,Female,6.783,6.774,6.795,9.079,8.92,9.079,10.819,11.007,10.819,12.964,12.789,12.635,13.403,13.605,13.241,12.154,12.328,12.166
FMNH 91225,Bovidae,Boselaphus tragocamelus,Boselaphus tragocamelus,Unknowm,7.329,7.519,7.707,9.028,9.397,9.442,10.335,10.53,10.525,13.748,13.599,13.636,15.45,15.437,15.41,16.124,16.165,16.012
FMNH 91226,Bovidae,Boselaphus tragocamelus,Boselaphus tragocamelus,Unknowm,7.621,7.069,7.465,8.79,8.979,8.979,10.538,10.343,10.15,12.758,12.963,12.708,13.088,13.088,12.961,12.886,12.941,13.076
FMNH 31711,Bovidae,Bubalus bubalis bubalis,Bubalus bubalis,Female,,,,15.047,15.095,14.927,17.503,17.245,17.382,20.927,21.284,21.129,23.187,22.981,22.996,21.317,21.479,21.502
FMNH 31712,Bovidae,Bubalus bubalis bubalis,Bubalus bubalis,Male,,,,14.567,14.721,14.353,14.888,14.877,14.942,18.152,18.392,18.59,20.198,20.635,20.338,18.731,18.268,18.685
FMNH 98791,Bovidae,Bubulus depressicornis,Bubalus depressicornis,Female,6.052,6.349,6.047,8.528,8.87,8.571,10.153,10.33,10.28,9.701,9.701,9.525,11.558,11.41,11.684,11.069,10.991,11.175
FMNH 18937,Bovidae,Budorcas taxicolor tibetana,Budorcas taxicolor,Male,8.339,8.652,8.496,11.072,10.794,11.155,12.475,12.753,12.631,13.738,13.971,13.144,14.82,14.418,14.593,14.718,14.564,14.49
FMNH 36791,Bovidae,Budorcas taxicolor tibetana,Budorcas taxicolor,Female,8.423,8.5,8.277,10.842,10.458,10.621,13.156,13.181,13.032,13.479,15.099,13.266,16.173,17.681,16.653,17.254,16.978,17.301
FMNH 39508,Bovidae,Budorcas taxicolor tibetana,Budorcas taxicolor,Male,7.802,7.915,7.822,10.103,10.496,10.229,13.779,13.618,13.768,12.999,13.036,13.164,16.619,16.619,15.999,16.102,16.008,16.365
FMNH 39510,Bovidae,Budorcas taxicolor tibetana,Budorcas taxicolor,Female,9.165,8.891,8.508,13.702,13.994,14.005,15.799,15.803,15.967,14.936,15.26,14.942,15.288,15.499,15.601,18.874,19.724,18.914
FMNH 39513,Bovidae,Budorcas taxicolor tibetana,Budorcas taxicolor,Female,8.087,7.981,8.865,10.029,10.254,10.214,11.365,11.565,11.693,12.633,12.638,12.645,15.015,15.169,15.29,16.754,16.024,16.295
FMNH 18847,Camelidae,Camelus bacterianus,Camelus bactrianus,Unknown,,,,,,,14.672,14.287,14.482,22.502,22.457,22.587,23.152,23.149,23.017,21.542,21.689,21.649
FMNH 21708,Camelidae,Camelus bacterianus,Camelus bactrianus,Male,,,,,,,13.355,13.175,13.426,21.313,20.946,21.12,24.532,25.063,24.945,21.235,21.502,21.418
FMNH 8411,Camelidae,Camelus dromedarius,Camelus dromedarius,Male,,,,,,,16.37,15.918,16.188,20.505,20.152,20.425,28.772,28.949,28.433,27.615,27.571,27.571
FMNH 92238,Camelidae,Camelus dromedarius,Camelus dromedarius,Unknown,,,,,,,12.79,12.538,12.493,21.622,21.899,21.899,23.006,22.938,22.938,24.709,25.031,24.9
FMNH 92239,Camelidae,Camelus dromedarius,Camelus dromedarius,Unknown,,,,,,,12.482,12.48,12.418,20.592,20.145,20.364,21.266,21.248,21.037,21.239,21.477,21.243
FMNH 134553,Bovidae,Capra falconeri,Capra falconeri,Unknown,6.424,6.684,6.17,7.911,7.921,7.894,7.623,7.901,7.764,7.681,7.528,7.866,10.714,9.996,10.469,10.394,10.725,10.945
FMNH 129757,Bovidae,Capra hircus aegagrus,Capra aegagrus,Male,4.15,4.06,4.337,5.529,5.671,5.814,6.24,6.244,6.546,7.428,7.29,7.324,7.462,7.809,7.772,8.339,8.07,8.198
FMNH 97928,Bovidae,Capra hircus aegagrus,Capra aegagrus,Male,4.028,4.169,3.911,5.701,5.557,5.84,6.672,6.529,6.667,7.479,7.556,7.444,8.09,8.394,8.12,7.351,7.518,7.703
FMNH 134310,Bovidae,Capra nubiana,Capra nubiana,Male,4.48,4.751,4.913,5.679,5.781,5.511,5.49,5.633,5.635,7.622,7.495,7.622,8.726,8.668,8.952,7.491,7.435,7.381
FMNH 21717,Bovidae,Capra pyrenaica,Capra pyrenaica,Male,4.823,4.823,4.421,6.297,6.432,6.565,6.969,6.834,7.121,8.013,8.139,8.186,8.833,8.734,8.89,9.183,9.008,9.183
