family,genus,species,binomial,subspecies,diet,habitat,HI,JLB,MZW,refs
Bovidae,Madoqua,kirki,Madoqua kirki,,Br,OH,2.63,1.55,0.21,"Kingswood and Kumamoto 1997, Kingdon 1982"
Cervidae,Mazama,mazama,Mazama mazama,,Br,CH,1.3,1.83,0.52,"Brannan et al. 1985, Jansa 1999b"
Moschidae,Moschus,moschiferus,Moschus moschiferus,,MF,CH,1.98,1.87,0.84,"Nowak 2001, Mulder 1999"
Cervidae,Muntiacus,muntjak,Muntiacus muntjak,,MF,CH,1.81,1.73,0.6,"Roberts 1977, Jackson 2002"
Cervidae,Muntiacus,reevesi,Muntiacus reevesi,,Om,CH,1.12,1.84,0.61,"Jackson et al.1977, Chapman et al. 1993"
Bovidae,Nemorhaedus,goral,Nemorhaedus goral,,MF,OH,4.03,1.59,0.52,"Mead 1989, Shackleton et al. 1997, Zhiwotschenko 1990"
Bovidae,Neotragus,moschatus,Neotragus moschatus,,Br,MH,3.51,1.78,0.45,"Zhiwotschenko 1990, Walther 1990a"
Cervidae,Odocoileus,hemionus,Odocoileus hemionus,,Br,MH,1.59,2.02,0.64,"Anderson and Wallmo 1984, Dusek 1975, Hansen and Dearden 1975"
Cervidae,Odocoileus,virginianus,Odocoileus virginianus,,Br,MH,1.23,2.09,0.63,"Smith 1991, Beier 1987"
Giraffidae,Okapia,johnstoni,Okapia johnstoni,,HBr,CH,1.18,2.6,0.56,"Kingdon 1982, Bodmer and Rabb 1992"
Bovidae,Oreamnos,americanus,Oreamnos americanus,,MF,OH,2.76,1.48,0.53,"Rideout and Hoffman 1975, Roberts 1977"
Bovidae,Oryx,gazalla,Oryx gazalla,,MF,OH,3.37,1.6,0.63,"Smithers 1983, Van Zyl 1965"
Bovidae,Oreotragus,oreotragus,Oreotragus oreotragus,,MF,OH,3.82,1.42,0.43,"Dorst and Dandelot 1969,"
Bovidae,Ourebia,ourebi,Ourebia ourebi,,MF,OH,3.8,1.64,0.49,"Reilly et al.1990, Estes 1991"
Bovidae,Ovis,Canadensis,Ovis Canadensis,,MF,OH,4.11,1.5,0.49,"Shackleton 1985, Browning and Monson 1980"
Bovidae,Ovis,dalli,Ovis dalli,,MF,OH,4.08,1.52,0.56,"Hoeffs and Cowan 1979, Bowyer and Leslie 1992"
Bovidae,Ovibos,moschatus,Ovibos moschatus,,MF,OH,3.69,1.48,0.57,"Lent 1988, Gray 1990, Groves 1997"
Cervidae,Ozotoceros,bezoarticus,Ozotoceros bezoarticus,,MF,OH,2.12,1.5,0.47,"Jackson 1986, 1987; Nowak 2001"
Bovidae,Pantholops,hodgsonii,Pantholops hodgsonii,,MF,OH,4.56,1.68,0.59,"Schaller 1977, 1998; Nowak 2001, Massicot.2001"
Bovidae,Pelea,capreolus,Pelea capreolus,,Br,OH,4.01,1.71,0.45,"Mills and Hes 1997, Nowak 2001"
Suidae,Phacochoerus,aethiopicus,Phacochoerus aethiopicus,,Gr,OH,3.99,1.4,0.7,"Kingdon 1982, Lamprey 1963, Natoli and Weinstein 1999"
Suidae,Potamochoerus,porcus,Potamochoerus porcus,,Om,CH,1.34,1.47,0.6,"Kingdon 1982, Haltenorth and Diller 1977, Melton et al. 1989"
Bovidae,Procapra,gutturosa,Procapra gutturosa,,MF,OH,3.9,1.48,0.52,"Sokolov and Lushchekina 1997, Roberts 1977"
Bovidae,Pseudois,nayeur,Pseudois nayeur,,MF,OH,5.3,1.54,0.53,"Wang and Hoffman 1987, Nowak 2001, Schaller 1977, 1998"
Cervidae,Pudu,mephistopheles,Pudu mephistopheles,,Br,CH,1.61,1.71,0.58,"Eldredge et al.1987, MacNamara 1990"
Cervidae,Pudu,pudu,Pudu pudu,,Br,CH,1.62,1.65,0.51,"Eldredge et al.1987, MacNamara 1990"
Bovidae,Raphicerus,campestris,Raphicerus campestris,,MF,OH,3.44,1.48,0.44,"Kingdon 1982, Smithers 1983"
Bovidae,Raphicerus,melanotis,Raphicerus melanotis,,MF,MH,2.64,1.57,0.49,"Kingdon 1982, Smithers 1971, Haltenorth and Diller 1977"
Cervidae,Rangifer,tarandus,Rangifer tarandus,,MF,MH,1.52,2.38,0.88,"Shefferly and Joly 2000, Geist 1998"
Bovidae,Redunca,arundinum,Redunca arundinum,,Gr,MH,3.59,2.24,0.63,"Jungius 1971, Kingdon 1982"
Bovidae,Redunca,fulvorufula,Redunca fulvorufula,,Gr,OH,3.79,2.04,0.61,"Oliver et al. 1978, Irby 1977, 1987"
Rhinocerotidae,Rhinoceros,sondaicus,Rhinoceros sondaicus,,Br,CH,1.72,1.81,0.67,"Carter 1984, Schenkel et al. 1973"
Rhinocerotidae,Rhinoceros,unicornis,Rhinoceros unicornis,,MF,MH,1.59,1.43,0.67,"Laurie 1982, Laurie et al. 1983"
Bovidae,Rupicapra,rupicapra,Rupicapra rupicapra,,MF,OH,4.19,1.61,0.52,"Nowak 2001, Perle, A. and Hamr, J. 1985"
Bovidae,Saiga,tatarica,Saiga tatarica,,MF,OH,5.29,1.29,0.43,"Bannikov et al. 1960, Sokolov 1974, Nowak 2001"
Suidae,Sus,scrofa,Sus scrofa,cristatus,Om,CH,1.28,1.41,0.51,"Sweeney and Sweeney 1982, Nowak 2001, d'Huart, J. 1993"
Bovidae,Syncerus,caffer,Syncerus caffer,,Gr,MH,3.82,1.98,1.03,"Beekman and Prins 1989, Estes 1991, Lamprey 1963"
Bovidae,Sylvicapra,grimmia,Sylvicapra grimmia,,Br,MH,2.97,1.95,0.54,"Wilson 1966, Dunbar 1978, Kingdon 1982, Nowak 2001"
Tapiridae,Tapirus,bairdii,Tapirus bairdii,,Br,MH,0.89,2.15,0.74,"Matthews 1971, Nowak 2001, Nocon 1999b"
Tapiridae,Tapirus,indicus,Tapirus indicus,,Br,CH,0.76,2.02,0.63,"Williams and Petrides 1980, Nowak 2001"
Bovidae,Taurotragus,oryx,Taurotragus oryx,,MF,MH,2.91,1.59,0.65,"Hillman 1988, Van Zyl 1965, Lamprey 1963, Nowak 2001"
Tayassuidae,Tayassu,pecari,Tayassu pecari,,Om,CH,1,1.7,0.85,"Mayer and Wetzal 1987, Kiltie 1981, Sowls 1977, 1984; d'Huart, J. 1993"
Tapiridae,Tapirus,pinchaque,Tapirus pinchaque,,MF,MH,1.31,2.07,0.66,"Downer 1996, Todd 1999, Nechvatal, N. 2001"
Tayassuidae,Tayassu,tajacu,Tayassu tajacu,,Om,CH,1.23,1.74,0.61,"Kiltie 1981, Sowls 1977, d'Huart, J. 1993"
Tapiridae,Tapirus,terrestris,Tapirus terrestris,,Br,CH,0.92,1.9,0.59,"Matthews 1971, Bodmer 1990, Padilla and Dowler 1994, Emmons 1990"
Bovidae,Tetracerus,quadricornis,Tetracerus quadricornis,,MF,MH,3.77,1.9,0.56,"Schaller 1967, Nowak 2001, Macdonald 1987"
Bovidae,Tragelaphus,angasi,Tragelaphus angasi,,Br,MH,2.52,1.91,0.61,"Vincent et al. 1968, Dorst and Dandelot 1969, Van Rooyen 1992"
Bovidae,Tragelaphus,buxtoni,Tragelaphus buxtoni,,Br,CH,1.95,1.78,0.63,"Brown 1969, Kingdon 1982, Nowak 2001"
Bovidae,Tragelaphus,euryceros,Tragelaphus euryceros,,MF,CH,1.92,1.63,0.72,"Ralls 1978 , Kingdon 1982, Nowak 2001"
Bovidae,Tragelaphus,imberbis,Tragelaphus imberbis,,MF,MH,2.18,1.69,0.62,"Lamprey 1963, Kingdon 1982, Walther 1990c"
Tragulidae,Tragulus,javanicus,Tragulus javanicus,,Br,CH,1.47,1.53,0.54,"Medway 1987, Nowak 2001"
Tragulidae,Tragulus,meminna,Tragulus meminna,,Br,CH,1.72,1.57,0.53,"Medway 1987, Nowak 2001"
Tragulidae,Tragulus,napu,Tragulus napu,,Br,CH,1.67,1.72,0.61,"Medway 1987, Nowak 2001"
Bovidae,Tragelaphus,scriptus,Tragelaphus scriptus,,Br,MH,2.54,2.03,0.69,"Kingdon 1982, Simpson 1974, MacLeod et al. 1996"
Bovidae,Tragelaphus,spekei,Tragelaphus spekei,,MF,MH,2.9,1.83,0.62,"Estes 1991, Smithers 1983, Games 1983"
Bovidae,Tragelaphus,strepciceros,Tragelaphus strepciceros,,Br,MH,2.29,1.67,0.66,"Wilson 1965, Simpson 1972, Kingdon 1982"
Camelidae,Vicugna,vicugna,Vicugna vicugna,,MF,OH,4.33,1.42,0.45,"Newman 1979, 1984"
