Family_Assignment,MASTER_LIST,Max_Age,Min_Age,m1L,rbl,BM_all_carnivoran,BM_extant_reg
Ursidae,Parictis montanus,35.24,33.9,7.7,0.632,2.306,49.474
Ursidae,Parictis parvus,33.9,32.1,6.4,0.609,1.332,45.189
Ursidae,Parictis personi,35.92,35.24,NA,NA,NA,NA
Ursidae,Parictis primaevus,37.39,32.1,NA,NA,NA,NA
Ursidae,Phoberocyon johnhenryi,18.5,15.97,34,NA,189.886,102.429
Ursidae,Phoberogale shareri,29.75,18.8,NA,NA,NA,NA
Ursidae,Plionarctos edensis,6.88,1.8,NA,NA,NA,NA
Ursidae,Plithocyon barstowensis,15.9,12.57,29,NA,118.392,94.749
Ursidae,Plithocyon ursinus,15.9,12.5,35.4,NA,214.062,104.475
Ursidae,Tremarctos floridanus,2.63,0.01,20.8,0.428,44.121,80.51
Ursidae,Ursavus brevirhinus,17.34,12.5,14.3,NA,14.499,67.006
Ursidae,Ursavus pawniensis,15.9,9,NA,NA,NA,NA
Ursidae,Ursavus primaevus,15.97,12.5,NA,NA,NA,NA
Ursidae,Ursus abstrusus,4.91,1.8,20.7,0.63,43.494,80.32
Ursidae,Ursus americanus,0.11,0,18.65,0.477,31.909,76.319
Ursidae,Ursus arctos,0.11,0,25.55,0.616,81.274,89.047
Viverravidae,Bryanictis microlestes,62.52,58.24,4.627,0.554,0.508,0.508
Viverravidae,Didymictis altidens,55.96,49.27,12.731,0.53,10.268,10.268
Viverravidae,Didymictis dellensis,58.24,55.96,8.533,0.635,3.129,3.129
Viverravidae,Didymictis protenus,57.66,52.11,10.415,0.542,5.655,5.655
Viverravidae,Didymictis vancleveae,51.91,49.27,18.488,0.558,31.093,31.093
Viverravidae,Ictidopappus mustelinus,62.52,62.22,3.835,0.645,0.291,0.291
Viverravidae,Intyrictis vanvaleni,62.52,61.61,4.314,0.571,0.413,0.413
Viverravidae,Protictis agastor,59.61,58.63,7.673,0.574,2.282,2.282
Viverravidae,Protictis haydenianus,64.81,57.66,7.832,0.589,2.426,2.426
Viverravidae,Protictis paralus,62.22,58.24,4.403,0.676,0.438,0.438
Viverravidae,Protictoides aprophatos,47.96,45.38,NA,NA,NA,NA
Viverravidae,Raphictis gausion,59.61,58.63,3.898,0.625,0.305,0.305
Viverravidae,Simpsonictis jaynanneae,62.52,62.22,NA,NA,NA,NA
Viverravidae,Simpsonictis pegus,62.52,62.22,3.964,0.545,0.321,0.321
Viverravidae,Simpsonictis tenuis,62.52,59.61,3.016,0.64,0.143,0.143
Viverravidae,Viverravus acutus,57.24,52.11,4.555,0.571,0.485,0.485
Viverravidae,Viverravus gracilis,55.96,47.96,5.317,0.602,0.768,0.768
Viverravidae,Viverravus laytoni,58.24,54.05,3.62,0.594,0.245,0.245
Viverravidae,Viverravus lutosus,55.96,49.27,4.62,0.604,0.506,0.506
Viverravidae,Viverravus minutus,53.07,45.38,4.521,0.577,0.474,0.474
Viverravidae,Viverravus politus,57.24,53.42,6.114,0.698,1.162,1.162
Viverravidae,Viverravus schaffi,58.24,57.66,5.658,0.653,0.923,0.923
Viverravidae,Viverravus sicarius,51.91,47.96,NA,0.662,NA,NA
