species,specimen_name,Specimen no.,Formation,Locality,Side,Image No.,FO,LO,Repeat,# of meas.,P2_L,P2_W,P3_L,P3_W,P4_L,P4_W,M1_L,M1_W,M2_L,M2_W,M3_L,M3_W,p2_l,p2_w,p3_l,p3_w,p4_l,p4_w,m1_l,m1_w,m2_l,m2_w,m3_l,m3_w,upP,upM,loP,loM,Notes,Notes,Notes
Mesohippus bairdi,Mesohippus hypostylus,PM 56489,Chadron,"Shannon Co., SD",,DSC_2896,36.8,32.7,2,14,,,,,,,,,,,,,11.359,7.69,10.566,8.799,11.14,9.086,10.745,8.017,11.213,7.817,14.321,7.11,,,32.803,36.177,,,
Mesohippus bairdi,Mesohippus hypostylus,PM 56489,Chadron,"Shannon Co., SD",,DSC_2896,36.8,32.7,3,14,,,,,,,,,,,,,11.649,7.747,10.993,8.799,11.181,9.086,10.913,7.893,11.223,7.961,14.605,7.135,,,32.8,36.499,,,
Mesohippus sp.,Mesohippus sp.,PM 39981,Chadron,"Pennington Co., SD",,DSC_2899,,,1,9,,,,,,,,,,,,,,,,,12.015,9.483,12.264,8.743,12.758,8.635,15.581,8.054,,,,39.919,,,
Mesohippus sp.,Mesohippus sp.,PM 39981,Chadron,"Pennington Co., SD",,DSC_2899,,,2,9,,,,,,,,,,,,,,,,,11.695,9.369,12.144,9.023,12.767,8.537,15.577,8.003,,,,39.85,,,
Mesohippus sp.,Mesohippus sp.,PM 39981,Chadron,"Pennington Co., SD",,DSC_2899,,,3,9,,,,,,,,,,,,,,,,,11.755,9.375,12.027,8.836,12.884,8.674,15.396,8.152,,,,39.975,,,
Mesohippus sp.,Mesohippus sp.,G 6584,Chadron,"Pennington Co., SD",left side,DSC_2902,,,1,11,10.844,11.995,12.115,14.631,12.35,15.599,12.558,15.609,11.724,15.86,,,,,,,,,,,,,,,35.753,,,,says ACC near specimen number,,
Mesohippus sp.,Mesohippus sp.,G 6584,Chadron,"Pennington Co., SD",left side,DSC_2902,,,2,11,10.912,12.335,12.151,14.63,12.349,15.483,12.43,15.636,12.086,15.74,,,,,,,,,,,,,,,35.8,,,,,,
Mesohippus sp.,Mesohippus sp.,G 6584,Chadron,"Pennington Co., SD",left side,DSC_2902,,,3,11,10.789,12.458,12.593,14.787,12.264,15.805,12.408,15.231,12.031,15.703,,,,,,,,,,,,,,,35.861,,,,,,
Mesohippus sp.,Mesohippus sp.,G 6584,Chadron,"Shannon Co., SD",,DSC_2905,,,1,14,,,,,,,,,,,,,10.825,7.948,11.303,8.874,11.2,9.403,10.84,8.407,13.544,7.99,14.679,7.339,,,33.893,40.498,,,
Mesohippus sp.,Mesohippus sp.,G 6584,Chadron,"Shannon Co., SD",,DSC_2905,,,2,14,,,,,,,,,,,,,10.899,8.157,11.658,8.898,11.323,9.109,10.694,8.529,13.714,7.866,14.575,7.873,,,33.419,40.539,,,
Mesohippus sp.,Mesohippus sp.,G 6584,Chadron,"Shannon Co., SD",,DSC_2905,,,3,14,,,,,,,,,,,,,10.944,7.888,11.491,8.941,11.407,9.143,10.661,8.296,13.417,7.918,14.47,7.844,,,33.726,40.616,,,
Mesohippus sp.,Mesohippus sp.,PM 39978,Chadron,"Shannon Co., SD",,DSC_2908,,,1,14,,,,,,,,,,,,,10.905,8.032,11.558,9.074,11.663,10.31,12.151,9.356,11.453,9.298,16.545,9.55,,,33.496,40.05,mid-chadron formation,,
Mesohippus sp.,Mesohippus sp.,PM 39978,Chadron,"Shannon Co., SD",,DSC_2908,,,2,14,,,,,,,,,,,,,10.567,8.133,11.547,9.388,11.625,10.339,11.905,9.582,11.699,9.457,16.347,9.436,,,33.717,39.957,,,
Mesohippus sp.,Mesohippus sp.,PM 39978,Chadron,"Shannon Co., SD",,DSC_2908,,,3,14,,,,,,,,,,,,,10.401,8.102,11.528,9.187,11.836,10.178,11.905,9.547,11.538,9.734,16.52,9.226,,,33.571,40.106,,,
Mesohippus bairdi,Mesohippus hypostylus,PM 56488,Chadron,"Shannon Co., SD",left side,DSC_2911,36.8,32.7,1,11,10.374,11.99,10.786,14.158,11.687,14.987,11.865,14.694,10.639,14.792,,,,,,,,,,,,,,,32.931,,,,,,
Mesohippus bairdi,Mesohippus hypostylus,PM 56488,Chadron,"Shannon Co., SD",left side,DSC_2911,36.8,32.7,2,11,10.465,12.014,11.146,14.2,11.791,15.334,11.733,14.742,10.587,14.781,,,,,,,,,,,,,,,32.641,,,,,,
Mesohippus bairdi,Mesohippus hypostylus,PM 56488,Chadron,"Shannon Co., SD",left side,DSC_2911,36.8,32.7,3,11,10.565,11.998,11.313,14.117,11.827,15.257,11.865,14.668,10.708,14.732,,,,,,,,,,,,,,,33.066,,,,,,
Mesohippus bairdi,Mesohippus hypostylus,PM 56488,Chadron,"Shannon Co., SD",right side,DSC_2911,36.8,32.7,1,14,10.573,12.887,10.965,14.546,11.434,15.354,11.669,15.136,10.326,15.248,10.139,14.252,,,,,,,,,,,,,32.467,33.038,,,,,
Mesohippus bairdi,Mesohippus hypostylus,PM 56488,Chadron,"Shannon Co., SD",right side,DSC_2911,36.8,32.7,2,14,10.729,12.832,11.179,14.628,11.596,15.476,12.016,14.998,10.733,15.259,10.139,13.922,,,,,,,,,,,,,32.436,33.182,,,,,
Mesohippus bairdi,Mesohippus hypostylus,PM 56488,Chadron,"Shannon Co., SD",right side,DSC_2911,36.8,32.7,3,14,10.802,12.925,11.007,14.597,11.381,15.426,12.025,14.968,11.235,15.235,11.043,13.974,,,,,,,,,,,,,32.634,33.45,,,,,
Poabromylus kayi,Poabromylus kayi,PM 25896,Chadron,"Pennington Co., SD",,DSC_2914,39.2,38.4,1,11,,,,,,,,,,,,,,,8.179,2.686,7.16,4.75,9.247,6.723,9.603,7.872,13.965,8.405,,,,34.962,,,
Poabromylus kayi,Poabromylus kayi,PM 25896,Chadron,"Pennington Co., SD",,DSC_2914,39.2,38.4,2,11,,,,,,,,,,,,,,,8.138,2.974,7.08,4.591,9.883,6.643,9.757,7.977,14.064,8.429,,,,34.881,,,
Poabromylus kayi,Poabromylus kayi,PM 25896,Chadron,"Pennington Co., SD",,DSC_2914,39.2,38.4,3,11,,,,,,,,,,,,,,,8.183,3.139,7.151,4.841,10.007,6.615,9.79,7.811,14.476,8.391,,,,34.859,,,
Poabromylus kayi,Poabromylus kayi,PM 14649,Chadron,"Custer Co., SD",,DSC_2915,39.2,38.4,1,7,,,,,,,,,,,,,,,,,,,8.034,6.151,8.45,5.599,12.783,5.962,,,,29.447,,,
Poabromylus kayi,Poabromylus kayi,PM 14649,Chadron,"Custer Co., SD",,DSC_2915,39.2,38.4,2,7,,,,,,,,,,,,,,,,,,,7.517,5.514,8.754,6.919,13.017,6.477,,,,29.456,,,
Poabromylus kayi,Poabromylus kayi,PM 14649,Chadron,"Custer Co., SD",,DSC_2915,39.2,38.4,3,7,,,,,,,,,,,,,,,,,,,8.045,5.453,8.627,6.49,12.532,6.423,,,,29.515,,,
Poabromylus kayi,Poabromylus kayi,PM 20736,Chadron,"Custer Co., SD",,DSC_2918,39.2,38.4,1,6,,,,,,,,,,,,,,,,,8.533,4.367,9.423,6.563,10.251,6.772,,,,,,,,,
Poabromylus kayi,Poabromylus kayi,PM 20736,Chadron,"Custer Co., SD",,DSC_2918,39.2,38.4,2,6,,,,,,,,,,,,,,,,,8.93,4.782,9.38,7.243,10.64,7.449,,,,,,,,,
Poabromylus kayi,Poabromylus kayi,PM 20736,Chadron,"Custer Co., SD",,DSC_2918,39.2,38.4,3,6,,,,,,,,,,,,,,,,,9.052,4.016,9.297,5.829,10.566,7.711,,,,,,,,,
Poabromylus kayi,Poabromylus kayi,PM 20735,Chadron,"Custer Co., SD",,DSC_2921,39.2,38.4,1,7,,,,,,,,,,,,,,,,,,,9.503,6.819,10.82,7.967,14.689,8.219,,,,34.65,,,
Poabromylus kayi,Poabromylus kayi,PM 20735,Chadron,"Custer Co., SD",,DSC_2921,39.2,38.4,2,7,,,,,,,,,,,,,,,,,,,9.304,7.033,10.226,7.749,14.295,7.705,,,,34.361,,,
Poabromylus kayi,Poabromylus kayi,PM 20735,Chadron,"Custer Co., SD",,DSC_2921,39.2,38.4,3,7,,,,,,,,,,,,,,,,,,,9.463,7.296,10.335,8.28,14.523,8.127,,,,34.022,,,
Poabromylus kayi,Poabromylus kayi,PM 20727,Chadron,"Custer Co., SD",,DSC_2924,39.2,38.4,1,9,,,,,8.78,6.018,7.792,7.337,9.043,9.864,9.83,12.103,,,,,,,,,,,,,,27.049,,,,,
Poabromylus kayi,Poabromylus kayi,PM 20727,Chadron,"Custer Co., SD",,DSC_2924,39.2,38.4,2,9,,,,,8.862,6.277,7.816,7.625,8.946,9.787,9.726,12.087,,,,,,,,,,,,,,27.082,,,,,
Poabromylus kayi,Poabromylus kayi,PM 20727,Chadron,"Custer Co., SD",,DSC_2924,39.2,38.4,3,9,,,,,9.152,6.558,7.922,7.294,9.202,10.131,10.002,12.214,,,,,,,,,,,,,,26.921,,,,,
Heteromeryx dispar,Heteromeryx dispar,PM 36692,Chadron,"Indian Creek, SD",left side,DSC_2927,38.5,36.4,1,9,,,,,,,,,,,,,,,,,10.018,4.219,10.621,7.177,9.459,7.756,15.766,8.266,,,,37.207,,,
Heteromeryx dispar,Heteromeryx dispar,PM 36692,Chadron,"Indian Creek, SD",left side,DSC_2927,38.5,36.4,2,9,,,,,,,,,,,,,,,,,9.911,4.372,10.577,7.224,9.661,7.498,16.507,8.45,,,,37.998,,,
Heteromeryx dispar,Heteromeryx dispar,PM 36692,Chadron,"Indian Creek, SD",left side,DSC_2927,38.5,36.4,3,9,,,,,,,,,,,,,,,,,9.718,4.376,10.818,7.22,9.55,7.93,16.074,8.416,,,,37.646,,,
Heteromeryx dispar,Heteromeryx dispar,PM 36692,Chadron,"Indian Creek, SD",right side,DSC_2927,38.5,36.4,1,7,,,,,,,,,,,,,,,,,,,9.991,6.705,12.038,9.346,15.881,8.531,,,,37.617,,,
Heteromeryx dispar,Heteromeryx dispar,PM 36692,Chadron,"Indian Creek, SD",right side,DSC_2927,38.5,36.4,2,7,,,,,,,,,,,,,,,,,,,9.93,6.961,12.123,9.332,16.061,8.837,,,,37.729,,,
