species,specimen_name,Specimen no.,Formation,Locality,Side,Image No.,FO,LO,Repeat,# of meas.,P2_L,P2_W,P3_L,P3_W,P4_L,P4_W,M1_L,M1_W,M2_L,M2_W,M3_L,M3_W,p2_l,p2_w,p3_l,p3_w,p4_l,p4_w,m1_l,m1_w,m2_l,m2_w,m3_l,m3_w,upP,upM,loP,loM,Notes,Notes,Notes
Paracosoryx wilsoni,Paracosoryx wilsoni,F:AM 51553,Sheep Creek,"Sioux Co., NE",right side,IMG_9363,18.4,16.5,2,11,,,,,,,,,,,,,,,5.929,3.441,7.179,4.596,7.982,5.617,9.722,8.707,16.936,7.652,,,,34.612,Long Quarry,,
Paracosoryx wilsoni,Paracosoryx wilsoni,F:AM 51553,Sheep Creek,"Sioux Co., NE",right side,IMG_9363,18.4,16.5,3,11,,,,,,,,,,,,,,,6.069,3.463,7.017,4.579,7.882,5.754,9.562,8.158,17.044,7.672,,,,34.75,Long Quarry,,
Paracosoryx dawesensis,Paracosoryx dawesensis,352-1205,Sheep Creek,"Dawes Co., NE",left side,IMG_9368,17.6,17.6,1,11,,,5.303,4.54,5.149,5.84,6.949,8.64,9.216,9.675,9.673,9.107,,,,,,,,,,,,,,25.954,,,Ginn Quarry,,
Paracosoryx dawesensis,Paracosoryx dawesensis,352-1205,Sheep Creek,"Dawes Co., NE",left side,IMG_9368,17.6,17.6,2,11,,,5.48,4.325,5.46,6.045,6.71,8.703,9.185,9.314,9.663,9.257,,,,,,,,,,,,,,25.872,,,Ginn Quarry,,
Paracosoryx dawesensis,Paracosoryx dawesensis,352-1205,Sheep Creek,"Dawes Co., NE",left side,IMG_9368,17.6,17.6,3,11,,,5.349,4.301,5.224,6.141,6.838,8.682,9.061,9.677,9.587,9.244,,,,,,,,,,,,,,25.801,,,Ginn Quarry,,
Paracosoryx dawesensis,Paracosoryx dawesensis,F:AM 32853A,Sheep Creek,"Dawes Co., NE",left side,IMG_9371,17.6,17.6,1,11,,,5.945,5.763,5.819,6.914,8.17,8.394,9.584,9.127,8.482,8.665,,,,,,,,,,,,,,26.246,,,Ginn Quarry,,
Paracosoryx dawesensis,Paracosoryx dawesensis,F:AM 32853A,Sheep Creek,"Dawes Co., NE",left side,IMG_9371,17.6,17.6,2,11,,,5.83,5.262,5.641,6.952,8.134,8.517,9.293,9.148,8.545,8.799,,,,,,,,,,,,,,26.465,,,Ginn Quarry,,
Paracosoryx dawesensis,Paracosoryx dawesensis,F:AM 32853A,Sheep Creek,"Dawes Co., NE",left side,IMG_9371,17.6,17.6,3,11,,,5.797,5.715,5.519,6.918,7.982,8.623,9.319,9.063,8.255,8.864,,,,,,,,,,,,,,26.284,,,Ginn Quarry,,
Paracosoryx dawesensis,Paracosoryx dawesensis,349-115,Sheep Creek,"Dawes Co., NE",left side,IMG_9374,17.6,17.6,1,14,6.922,5.649,6.339,4.709,4.695,6.111,6.64,9.461,7.465,9.541,6.881,8.988,,,,,,,,,,,,,,19.8,21.856,,Ginn Quarry,,
Paracosoryx dawesensis,Paracosoryx dawesensis,349-115,Sheep Creek,"Dawes Co., NE",left side,IMG_9374,17.6,17.6,2,14,6.424,5.48,6.259,4.342,4.584,6.159,5.845,9.062,7.258,9.802,6.878,8.659,,,,,,,,,,,,,,19.92,22.263,,Ginn Quarry,,
Paracosoryx dawesensis,Paracosoryx dawesensis,349-115,Sheep Creek,"Dawes Co., NE",left side,IMG_9374,17.6,17.6,3,14,6.885,5.202,6.403,4.74,4.297,6.056,6.042,9.43,7.83,9.855,6.617,8.794,,,,,,,,,,,,,,19.996,22.695,,Ginn Quarry,,
Paracosoryx dawesensis,Paracosoryx dawesensis,F:AM 32853,Sheep Creek,"Dawes Co., NE",left side,IMG_9377,17.6,17.6,1,11,6.189,4.136,6.457,4.958,5.614,6.276,8.907,8.227,10.23,9.783,,,,,,,,,,,,,,,,18.74,,,Ginn Quarry,,
Paracosoryx dawesensis,Paracosoryx dawesensis,F:AM 32853,Sheep Creek,"Dawes Co., NE",left side,IMG_9377,17.6,17.6,2,11,6.112,4.474,6.452,4.952,5.412,6.16,8.955,8.264,10.654,9.457,,,,,,,,,,,,,,,,18.713,,,Ginn Quarry,,
Paracosoryx dawesensis,Paracosoryx dawesensis,F:AM 32853,Sheep Creek,"Dawes Co., NE",left side,IMG_9377,17.6,17.6,3,11,6.162,4.332,6.499,5.087,5.806,6.179,9.409,8.042,11.047,9.649,,,,,,,,,,,,,,,,18.782,,,Ginn Quarry,,
Paracosoryx dawesensis,Paracosoryx dawesensis,F:AM 32854,Sheep Creek,"Dawes Co., NE",right side,IMG_9380,17.6,17.6,1,14,,,,,,,,,,,,,3.729,2.376,5.99,3.443,6.864,3.893,6.55,5.484,8.778,6.509,15.099,6.276,,,16.385,29.93,Ginn Quarry,,
Paracosoryx dawesensis,Paracosoryx dawesensis,F:AM 32854,Sheep Creek,"Dawes Co., NE",right side,IMG_9380,17.6,17.6,2,14,,,,,,,,,,,,,3.877,2.522,5.799,3.26,6.861,4.004,6.462,5.529,8.537,6.495,14.811,6.3,,,16.231,29.964,Ginn Quarry,,
Paracosoryx dawesensis,Paracosoryx dawesensis,F:AM 32854,Sheep Creek,"Dawes Co., NE",right side,IMG_9380,17.6,17.6,3,14,,,,,,,,,,,,,3.783,2.457,5.911,3.265,7,4.054,6.537,5.627,8.761,6.493,14.793,6.323,,,16.669,30.101,Ginn Quarry,,
Paracosoryx dawesensis,Paracosoryx dawesensis,353-1236,Sheep Creek,"Dawes Co., NE",right side,IMG_9383,17.6,17.6,1,11,,,,,,,,,,,,,4.172,1.961,5.47,3.075,6.44,3.802,7.355,5.278,10.21,6.919,,,,,16.078,,Ginn Quarry,,
Paracosoryx dawesensis,Paracosoryx dawesensis,353-1236,Sheep Creek,"Dawes Co., NE",right side,IMG_9383,17.6,17.6,2,11,,,,,,,,,,,,,4.39,2.177,5.43,3.02,6.155,3.937,7.248,5.257,10.081,6.85,,,,,16.032,,Ginn Quarry,,
Paracosoryx dawesensis,Paracosoryx dawesensis,353-1236,Sheep Creek,"Dawes Co., NE",right side,IMG_9383,17.6,17.6,3,11,,,,,,,,,,,,,4.163,2.115,5.455,3.15,6.086,3.863,7.067,5.331,10.097,6.757,,,,,15.944,,Ginn Quarry,,
Paracosoryx dawesensis,Paracosoryx dawesensis,F:AM 32854C,Sheep Creek,"Dawes Co., NE",left side,IMG_9392,17.6,17.6,1,4,,,,,,,,,,,,,,,,,,,9.155,5.004,9.908,3.939,,,,,,,Ginn Quarry,,
Paracosoryx dawesensis,Paracosoryx dawesensis,F:AM 32854C,Sheep Creek,"Dawes Co., NE",left side,IMG_9392,17.6,17.6,2,4,,,,,,,,,,,,,,,,,,,8.885,4.982,9.673,3.93,,,,,,,Ginn Quarry,,
Paracosoryx dawesensis,Paracosoryx dawesensis,F:AM 32854C,Sheep Creek,"Dawes Co., NE",left side,IMG_9392,17.6,17.6,3,4,,,,,,,,,,,,,,,,,,,8.909,5.104,9.583,3.961,,,,,,,Ginn Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 26888,,,right side,IMG_9397,17.6808173,14.5,1,14,,,,,,,,,,,,,4.02,1.971,5.425,3.003,5.644,3.581,6.305,4.988,8.221,5.528,14.829,5.14,,,14.763,29.515,,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 26888,,,right side,IMG_9397,17.6808173,14.5,2,14,,,,,,,,,,,,,4.242,2.01,5.426,3.056,5.562,3.609,6.346,4.89,8.065,5.278,14.856,5.011,,,14.788,29.541,,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 26888,,,right side,IMG_9397,17.6808173,14.5,3,14,,,,,,,,,,,,,4.124,2.149,5.507,3.002,5.729,3.579,6.422,4.951,8.377,5.416,15.009,5.057,,,14.823,29.382,,,
Merycodus sabulonis,Merycodus sabulonis,AMNH 1772,,"Sioux Co., NE",right side,IMG_9406,17.6808173,14.5,1,8,,,5.258,3.044,7.381,5.234,7.928,6.938,8.052,8.074,,,,,,,,,,,,,,,,,,,Thompson Quarry,,
Merycodus sabulonis,Merycodus sabulonis,AMNH 1772,,"Sioux Co., NE",right side,IMG_9406,17.6808173,14.5,2,8,,,5.29,3.159,7.307,5.092,7.974,6.939,7.981,8.21,,,,,,,,,,,,,,,,,,,Thompson Quarry,,
Merycodus sabulonis,Merycodus sabulonis,AMNH 1772,,"Sioux Co., NE",right side,IMG_9406,17.6808173,14.5,3,8,,,5.411,2.949,7.105,5.2,8.071,7.076,7.943,8.045,,,,,,,,,,,,,,,,,,,Thompson Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 14192,Sheep Creek,Nebraska,right side,IMG_9407,17.6808173,14.5,1,10,,,4.696,4.679,4.363,6.644,6.849,7.874,8.135,9.578,8.712,7.992,,,,,,,,,,,,,,,,,23 miles south of Agate,specimen has an extra M2,
Merycodus sabulonis,Merycodus sabulonis,F:AM 14192,Sheep Creek,Nebraska,right side,IMG_9407,17.6808173,14.5,2,10,,,5.036,4.314,4.417,6.615,6.642,7.988,8.058,9.69,8.599,7.869,,,,,,,,,,,,,,,,,23 miles south of Agate,specimen has an extra M2,
Merycodus sabulonis,Merycodus sabulonis,F:AM 14192,Sheep Creek,Nebraska,right side,IMG_9407,17.6808173,14.5,3,10,,,4.923,4.226,4.307,6.727,6.839,7.691,8.147,9.66,8.606,8.163,,,,,,,,,,,,,,,,,23 miles south of Agate,specimen has an extra M2,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51690,Olcott,"Sioux Co., NE",right side,IMG_9412,17.6808173,14.5,1,14,,,,,,,,,,,,,4.268,2.139,5.019,2.428,5.921,2.648,6.639,4.484,7.542,5.473,12.468,5.358,,,15.278,26.419,Mill Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51690,Olcott,"Sioux Co., NE",right side,IMG_9412,17.6808173,14.5,2,14,,,,,,,,,,,,,4.443,1.959,5.435,2.282,5.724,2.706,6.303,4.792,7.673,5.424,12.568,5.292,,,15.448,26.151,Mill Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51690,Olcott,"Sioux Co., NE",right side,IMG_9412,17.6808173,14.5,3,14,,,,,,,,,,,,,4.486,1.967,5.269,2.371,5.789,2.741,6.422,4.579,7.93,5.644,12.64,5.253,,,15.693,25.982,Mill Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 15687,Olcott,"Sioux Co., NE",left side,IMG_9415,17.6808173,14.5,1,11,,,,,,,,,,,,,,,5.544,3.266,6.538,2.855,7.524,5.338,9.281,5.946,13.449,6.759,,,,31.311,Echo Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 15687,Olcott,"Sioux Co., NE",left side,IMG_9415,17.6808173,14.5,2,11,,,,,,,,,,,,,,,5.544,3.158,6.396,3.019,7.492,5.399,9.212,5.912,13.525,6.955,,,,31.311,Echo Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 15687,Olcott,"Sioux Co., NE",left side,IMG_9415,17.6808173,14.5,3,11,,,,,,,,,,,,,,,5.516,3.211,6.313,3.101,7.58,5.255,9.058,5.786,13.579,6.861,,,,31.251,Echo Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51656,Olcott,"Sioux Co., NE",left side,IMG_9418,17.6808173,14.5,1,14,,,,,,,,,,,,,4.21,2.662,5.623,3.018,6.594,3.712,7.032,5.562,8.629,5.603,13.821,6.305,,,16.361,29.959,New Surface Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51656,Olcott,"Sioux Co., NE",left side,IMG_9418,17.6808173,14.5,2,14,,,,,,,,,,,,,4.183,2.553,5.621,2.906,6.63,3.718,7.036,5.515,8.58,5.986,13.658,6.23,,,16.119,29.848,New Surface Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51656,Olcott,"Sioux Co., NE",left side,IMG_9418,17.6808173,14.5,3,14,,,,,,,,,,,,,4.182,2.581,5.512,3.014,6.495,3.629,6.966,5.578,8.768,5.708,13.604,6.322,,,16.236,29.872,New Surface Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51666A,Olcott,"Sioux Co., NE",left side,IMG_9424,17.6808173,14.5,1,14,,,,,,,,,,,,,4.456,4.448,5.75,2.836,6.812,3.953,7.481,5.584,9.172,6.335,18.617,6.558,,,17.59,34.998,New Surface Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51666A,Olcott,"Sioux Co., NE",left side,IMG_9424,17.6808173,14.5,2,14,,,,,,,,,,,,,4.649,2.589,5.845,2.863,6.783,3.919,7.384,5.576,9.434,6.462,18.388,6.403,,,17.446,34.886,New Surface Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51666A,Olcott,"Sioux Co., NE",left side,IMG_9424,17.6808173,14.5,3,14,,,,,,,,,,,,,4.589,2.676,5.926,2.864,6.811,4.144,7.481,5.594,9.474,6.306,18.615,6.376,,,17.379,35.113,New Surface Quarry,,
Merycodus sabulonis,Merycodus sabulonis,424-21347 ,Olcott,"Sioux Co., NE",left side,IMG_9427,17.6808173,14.5,1,11,5.275,3.696,5.585,3.915,4.363,5.517,6.628,7.173,8.428,9.056,,,,,,,,,,,,,,,14.916,,,,Boulder Quarry,,
Merycodus sabulonis,Merycodus sabulonis,424-21347 ,Olcott,"Sioux Co., NE",left side,IMG_9427,17.6808173,14.5,2,11,5.265,3.452,5.435,3.875,4.416,5.59,6.525,7.398,8.564,9.032,,,,,,,,,,,,,,,15.251,,,,Boulder Quarry,,
Merycodus sabulonis,Merycodus sabulonis,424-21347 ,Olcott,"Sioux Co., NE",left side,IMG_9427,17.6808173,14.5,3,11,5.514,3.474,5.486,3.742,4.214,5.579,6.616,7.259,8.394,8.982,,,,,,,,,,,,,,,15.302,,,,Boulder Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51713,Olcott,"Sioux Co., NE",right side,IMG_9431,17.6808173,14.5,1,9,,,,,5.34,5.67,6.996,7.471,9.45,8.746,8.712,7.56,,,,,,,,,,,,,,25.055,,,Boulder Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51713,Olcott,"Sioux Co., NE",right side,IMG_9431,17.6808173,14.5,2,9,,,,,5.228,5.724,6.967,7.593,9.333,8.616,8.665,7.761,,,,,,,,,,,,,,24.862,,,Boulder Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51713,Olcott,"Sioux Co., NE",right side,IMG_9431,17.6808173,14.5,3,9,,,,,5.01,5.752,6.995,7.753,9.317,8.662,8.668,7.699,,,,,,,,,,,,,,24.927,,,Boulder Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51690,Olcott,"Sioux Co., NE",left side,IMG_9434,17.6808173,14.5,1,14,,,,,,,,,,,,,4.354,2.047,5.173,2.283,5.525,2.891,6.387,4.816,7.653,5.748,12.899,5.285,,,15.284,27.429,Mill Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51690,Olcott,"Sioux Co., NE",left side,IMG_9434,17.6808173,14.5,2,14,,,,,,,,,,,,,4.295,2.132,5.418,2.446,5.308,2.852,6.391,4.666,7.723,5.703,12.965,5.376,,,15.076,27.357,Mill Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51690,Olcott,"Sioux Co., NE",left side,IMG_9434,17.6808173,14.5,3,14,,,,,,,,,,,,,4.274,1.963,5.363,2.356,5.371,2.912,6.405,4.931,7.47,5.837,12.981,5.291,,,15.057,27.186,Mill Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51717,,,right side,IMG_9437,17.6808173,14.5,1,9,,,,,4.44,6.5,6.71,8.131,8.827,9.571,8.293,9.851,,,,,,,,,,,,,,24.138,,,,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51717,,,right side,IMG_9437,17.6808173,14.5,2,9,,,,,4.471,6.263,6.644,8.054,9.042,9.634,8.268,9.926,,,,,,,,,,,,,,24.044,,,,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51717,,,right side,IMG_9437,17.6808173,14.5,3,9,,,,,4.503,6.329,6.637,8.022,8.808,9.481,8.177,9.929,,,,,,,,,,,,,,24.035,,,,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51667,Olcott,"Sioux Co., NE",right side,IMG_9440,17.6808173,14.5,1,11,,,6.303,4.849,5.352,6.298,8.136,8.867,9.137,9.494,9.468,8.547,,,,,,,,,,,,,,26.458,,,New Surface Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51667,Olcott,"Sioux Co., NE",right side,IMG_9440,17.6808173,14.5,2,11,,,6.322,4.713,5.454,6.418,8.077,8.992,9.176,9.647,9.562,8.722,,,,,,,,,,,,,,26.53,,,New Surface Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51667,Olcott,"Sioux Co., NE",right side,IMG_9440,17.6808173,14.5,3,11,,,6.296,4.913,5.286,6.436,8.211,8.853,9.285,9.505,9.602,8.554,,,,,,,,,,,,,,26.551,,,New Surface Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51668,Olcott,"Sioux Co., NE",left side,IMG_9443,17.6808173,14.5,1,11,,,6.524,5.813,4.91,7.476,8.114,7.355,8.733,8.375,8.106,9.169,,,,,,,,,,,,,,25.943,,,New Surface Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51668,Olcott,"Sioux Co., NE",left side,IMG_9443,17.6808173,14.5,2,11,,,6.289,5.908,5.168,7.422,8.241,7.052,8.936,8.419,8.094,8.852,,,,,,,,,,,,,,25.746,,,New Surface Quarry,,
Merycodus sabulonis,Merycodus sabulonis,F:AM 51668,Olcott,"Sioux Co., NE",left side,IMG_9443,17.6808173,14.5,3,11,,,6.254,5.876,5.06,7.458,8.294,7.003,8.867,8.595,7.892,8.977,,,,,,,,,,,,,,25.969,,,New Surface Quarry,,
Merycodus necatus,Merycodus necatus,F:AM 51790,Ft. Randall,"Charles Mix Co., SD",right side,IMG_9446,16,12.1071134,1,7,,,,,,,,,,,,,,,,,,,8.769,6.576,9.678,7.604,13.715,6.114,,,,33.426,"Bijou Hills, base of rockrose zone",,
Merycodus necatus,Merycodus necatus,F:AM 51790,Ft. Randall,"Charles Mix Co., SD",right side,IMG_9446,16,12.1071134,2,7,,,,,,,,,,,,,,,,,,,8.281,6.564,9.722,7.895,14.092,5.994,,,,32.942,"Bijou Hills, base of rockrose zone",,
Merycodus necatus,Merycodus necatus,F:AM 51790,Ft. Randall,"Charles Mix Co., SD",right side,IMG_9446,16,12.1071134,3,7,,,,,,,,,,,,,,,,,,,8.253,6.504,9.811,7.745,14.058,6.027,,,,33.184,"Bijou Hills, base of rockrose zone",,
Cosoryx furcatus,Cosoryx furcatus,F:AM 9475,Pawnee Creek,Colorado,left side,IMG_9451,15.5713138,11.8,1,14,6.786,3.661,5.84,3.441,5.325,6.403,7.219,8.789,10.647,9.356,11.173,9.089,,,,,,,,,,,,,18.122,29.252,,,"Cedar Creek, NE Colorado",,
Cosoryx furcatus,Cosoryx furcatus,F:AM 9475,Pawnee Creek,Colorado,left side,IMG_9451,15.5713138,11.8,2,14,6.701,3.623,5.842,3.77,5.132,6.395,7.351,8.791,10.666,9.33,11.275,9.072,,,,,,,,,,,,,17.942,29.186,,,"Cedar Creek, NE Colorado",,
Cosoryx furcatus,Cosoryx furcatus,F:AM 9475,Pawnee Creek,Colorado,left side,IMG_9451,15.5713138,11.8,3,14,6.318,3.693,5.867,3.851,5.149,6.378,7.372,8.657,10.632,9.399,11.319,9.281,,,,,,,,,,,,,18.129,29.114,,,"Cedar Creek, NE Colorado",,
Cosoryx furcatus,Cosoryx furcatus,F:AM 51069A,,"Sheridan Co., NE",left side,IMG_9456,15.5713138,11.8,1,14,4.922,3.741,6.376,4.555,5.872,5.643,8.327,8.345,11.131,11.027,11.709,9.803,,,,,,,,,,,,,17.443,32.111,,,,,
Cosoryx furcatus,Cosoryx furcatus,F:AM 51069A,,"Sheridan Co., NE",left side,IMG_9456,15.5713138,11.8,2,14,4.81,3.764,6.331,4.428,5.8,5.69,8.496,8.73,10.992,11.318,11.708,9.972,,,,,,,,,,,,,17.561,32.005,,,,,
Cosoryx furcatus,Cosoryx furcatus,F:AM 51069A,,"Sheridan Co., NE",left side,IMG_9456,15.5713138,11.8,3,14,4.975,3.756,6.311,4.31,5.712,5.673,8.436,8.625,10.914,11.513,11.704,10.185,,,,,,,,,,,,,17.557,32.014,,,,,
Cosoryx furcatus,Cosoryx furcatus,AINS 354-Pros. 24,,"Cherry Co., NE",left side,IMG_9459,15.5713138,11.8,1,14,,,,,,,,,,,,,4.673,2.31,5.523,3.118,6.741,3.605,6.896,4.644,9.548,5.892,18.713,7.047,,,16.718,35.126,Snake River near Burge post office,upper beds (?),
Cosoryx furcatus,Cosoryx furcatus,AINS 354-Pros. 24,,"Cherry Co., NE",left side,IMG_9459,15.5713138,11.8,2,14,,,,,,,,,,,,,4.528,2.188,5.768,3.085,6.764,3.481,6.818,4.72,9.569,5.891,19.047,6.852,,,16.597,35.182,Snake River near Burge post office,,
Cosoryx furcatus,Cosoryx furcatus,AINS 354-Pros. 24,,"Cherry Co., NE",left side,IMG_9459,15.5713138,11.8,3,14,,,,,,,,,,,,,4.5,2.233,5.861,3.037,6.736,3.512,6.891,4.821,9.461,5.876,18.849,6.764,,,16.71,35.211,Snake River near Burge post office,,
Cosoryx furcatus,Cosoryx furcatus,AINS 735-Pros. 1-18,,"Cherry Co., NE",left side,IMG_9462,15.5713138,11.8,1,14,,,,,,,,,,,,,5.002,2.097,6.085,3.148,7.025,3.373,8.986,6.022,11.158,5.739,13.501,5.165,,,17.997,33.861,Hans Johnson Ranch,1 mi south of ranch house in old road cut,Burge equivalent
Cosoryx furcatus,Cosoryx furcatus,AINS 735-Pros. 1-18,,"Cherry Co., NE",left side,IMG_9462,15.5713138,11.8,2,14,,,,,,,,,,,,,4.95,2.056,5.94,3.182,6.935,3.342,8.641,6.016,10.826,5.739,13.289,5.224,,,18.121,34.563,Hans Johnson Ranch,1 mi south of ranch house in old road cut,Burge equivalent
Cosoryx furcatus,Cosoryx furcatus,AINS 735-Pros. 1-18,,"Cherry Co., NE",left side,IMG_9462,15.5713138,11.8,3,14,,,,,,,,,,,,,4.691,2.13,5.939,3.096,6.773,3.455,8.761,6.189,11.103,5.718,13.836,5.22,,,17.846,34.874,Hans Johnson Ranch,1 mi south of ranch house in old road cut,Burge equivalent
Cosoryx furcatus,Cosoryx furcatus,F:AM 51405,Valentine,"Cherry Co., NE",left side,IMG_9465,15.5713138,11.8,1,14,,,,,,,,,,,,,4.608,2.384,5.96,3.267,5.961,4.884,7.644,6.246,10.798,8.195,17.455,8.352,,,16.337,36.258,Whiteface Quarry,,
Cosoryx furcatus,Cosoryx furcatus,F:AM 51405,Valentine,"Cherry Co., NE",left side,IMG_9465,15.5713138,11.8,2,14,,,,,,,,,,,,,4.091,2.287,6.043,3.49,6.098,4.968,7.618,6.254,10.447,7.988,17.737,8.289,,,16.26,36.116,Whiteface Quarry,,
Cosoryx furcatus,Cosoryx furcatus,F:AM 51405,Valentine,"Cherry Co., NE",left side,IMG_9465,15.5713138,11.8,3,14,,,,,,,,,,,,,4.099,2.427,6.016,3.52,6.043,4.775,7.673,6.144,10.619,7.913,17.416,8.472,,,16.257,36.574,Whiteface Quarry,,
Cosoryx furcatus,Cosoryx furcatus,F:AM 51398,Valentine,"Cherry Co., NE",right side,IMG_9468,15.5713138,11.8,1,14,,,,,,,,,,,,,4.949,2.091,6.135,2.535,6.426,3.263,8.417,4.993,10.226,5.542,15.468,5.393,,,16.695,34.356,Whiteface Quarry,,
Cosoryx furcatus,Cosoryx furcatus,F:AM 51398,Valentine,"Cherry Co., NE",right side,IMG_9468,15.5713138,11.8,2,14,,,,,,,,,,,,,4.749,2.204,6.012,2.497,6.471,3.184,8.114,4.916,10.107,5.436,15.336,5.412,,,16.383,34.48,Whiteface Quarry,,
Cosoryx furcatus,Cosoryx furcatus,F:AM 51398,Valentine,"Cherry Co., NE",right side,IMG_9468,15.5713138,11.8,3,14,,,,,,,,,,,,,4.962,2.304,6.265,2.683,6.413,3.38,8.086,4.968,10.733,5.226,15.242,5.275,,,16.743,34.565,Whiteface Quarry,,
Cosoryx furcatus,Cosoryx furcatus,F:AM 51417,Valentine,"Cherry Co., NE",right side,IMG_9471,15.5713138,11.8,1,14,5.277,3.813,5.924,5.347,6.012,7.227,8.798,8.006,11.157,7.602,9.86,7.107,,,,,,,,,,,,,17.048,30.083,,,Whiteface Quarry,,
Cosoryx furcatus,Cosoryx furcatus,F:AM 51417,Valentine,"Cherry Co., NE",right side,IMG_9471,15.5713138,11.8,2,14,5.255,3.887,6.102,5.365,6.185,7.274,8.707,8.159,10.96,7.789,9.773,6.993,,,,,,,,,,,,,17.354,30.111,,,Whiteface Quarry,,
Cosoryx furcatus,Cosoryx furcatus,F:AM 51417,Valentine,"Cherry Co., NE",right side,IMG_9471,15.5713138,11.8,3,14,5.382,3.708,5.915,5.258,5.929,7.103,8.557,8.174,11.078,7.856,9.673,7.051,,,,,,,,,,,,,17.443,30.281,,,Whiteface Quarry,,
Cosoryx furcatus,Cosoryx furcatus,F:AM 51422,Valentine,"Cherry Co., NE",right side,IMG_9474,15.5713138,11.8,1,7,,,,,,,7.903,7.576,10.359,8.678,10.076,9.538,,,,,,,,,,,,,,28.985,,,Whiteface Quarry,,
Cosoryx furcatus,Cosoryx furcatus,F:AM 51422,Valentine,"Cherry Co., NE",right side,IMG_9474,15.5713138,11.8,2,7,,,,,,,7.931,6.966,10.624,8.443,10.132,7.921,,,,,,,,,,,,,,28.83,,,Whiteface Quarry,,
Cosoryx furcatus,Cosoryx furcatus,F:AM 51422,Valentine,"Cherry Co., NE",right side,IMG_9474,15.5713138,11.8,3,7,,,,,,,7.893,7.038,10.435,8.472,10.029,7.864,,,,,,,,,,,,,,28.977,,,Whiteface Quarry,,
Cosoryx furcatus,Cosoryx furcatus,F:AM 51418,Valentine,"Cherry Co., NE",left side,IMG_9477,15.5713138,11.8,1,7,,,,,,,7.487,8.746,11.152,9.023,12.351,8.385,,,,,,,,,,,,,,30.806,,,Whiteface Quarry,,
Cosoryx furcatus,Cosoryx furcatus,F:AM 51418,Valentine,"Cherry Co., NE",left side,IMG_9477,15.5713138,11.8,2,7,,,,,,,7.725,8.784,11.216,9.196,12.392,8.586,,,,,,,,,,,,,,31.083,,,Whiteface Quarry,,
Cosoryx furcatus,Cosoryx furcatus,F:AM 51418,Valentine,"Cherry Co., NE",left side,IMG_9477,15.5713138,11.8,3,7,,,,,,,7.449,8.76,11.26,9.141,12.059,8.601,,,,,,,,,,,,,,30.964,,,Whiteface Quarry,,
Cosoryx furcatus,Cosoryx furcatus,F:AM 51469,,,right side,IMG_9480,15.5713138,11.8,1,14,,,,,,,,,,,,,5.781,3.324,4.703,3.354,6.793,3.711,8.321,5.46,11.047,6.787,17.314,5.23,,,16.924,37.596,S.W. Quarry,,
Cosoryx furcatus,Cosoryx furcatus,F:AM 51469,,,right side,IMG_9480,15.5713138,11.8,2,14,,,,,,,,,,,,,5.919,3.519,5.18,3.231,6.506,3.79,8.165,5.341,11.056,6.766,17.322,5.175,,,17.092,37.972,S.W. Quarry,,
Cosoryx furcatus,Cosoryx furcatus,F:AM 51469,,,right side,IMG_9480,15.5713138,11.8,3,14,,,,,,,,,,,,,5.843,3.376,4.815,3.344,6.676,3.8,8.169,5.406,11.316,6.797,17.617,5.286,,,16.993,37.729,S.W. Quarry,,
