Index,Continent,Species Distribution,Order,FAMILY,Genus,Species,synonyms,Common,LogMass (g),Combined.Mass (g),Mass Reference,Mass Status,Status ,IUCN Redlist status,Year Assessed,trophic,trophic ref,habitat mode,MOMv5 vs. MSW3,LAB.COMMENTS.2016,Taxonomy Ref,TO.DO,,,,,,,,,,,,,,,,,,,
1285,AUS,,Diprotodontia,Phalangeridae,Trichosurus,vulpecula,,"Common Brushtail Possum, Silver-gray Brushtail Possum",3.423,2650,59,valid,extant,LC,2008,Browse/frug,t4,arboreal,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1290,AUS,,Diprotodontia,Phalangeridae,Wyulda,squamicaudata,,"Scaly-tailed Possum, Yilangal, Ilangurra ",3.224,1675,59,valid,extant,NT,2016,Frug/browse,t4,arboreal,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1193,AUS,,Diprotodontia,Phascolarctidae,Phascolarctos,cinereus,Lipurus cinereus,Koala,4.011,10250,59,valid,extant,VU,2016,Browse,t4,arboreal,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1037,AUS,,Diprotodontia,Potoroidae,Aepyprymnus,rufescens,,"Rufous Bettong, Rufous Rat-kangaroo",3.512,3250,59,valid,extant,LC,2008,Browse,same as family,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1049,AUS,,Diprotodontia,Potoroidae,Bettongia,gaimardi,Kangurus gaimardi,"Tasmanian Bettong, Tasmanian Rat Kangaroo, Southern Bettong, Eastern Bettong, Gaimard's Bettong",3.22,1660,59,valid,extant,NT,2016,Browse/frug,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1050,AUS,,Diprotodontia,Potoroidae,Bettongia,lesueur,,"Burrowing Bettong, Lesueur's Rat Kangaroo, Burrowing Rat-kangaroo, Lesueur's Bettong, Boodie",3.176,1500,59,valid,extant,NT,2008,Browse/frug,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1051,AUS,,Diprotodontia,Potoroidae,Bettongia,penicillata,,"Woylie, Brush-tailed Bettong, Brush-tailed Rat-kangaroo",3.114,1300,59,valid,extant,CR,2008,Browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1342,AUS,,Diprotodontia,Potoroidae,Caloprymnus,campestris,,"Desert Rat Kangaroo, Plains Rat-kangaroo, Buff-nosed Rat-kangaroo, Desert Rat-kangaroo",2.954,900,3_ 20,valid,historical,EX,2008,Frug,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1093,AUS,,Diprotodontia,Potoroidae,Hypsiprymnodon,moschatus,,Musky Rat Kangaroo,2.716,520,59,valid,extant,LC,2008,Browse/frug,t4,terr,Genus and species name match. Likely taxonomy is DIPROTODONTIA Hypsiprymnodontidae Hypsiprymnodon moschatus,,,,,,,,,,,,,,,,,,,,,,
1308,AUS,,Diprotodontia,Potoroidae,N.gen,spp, , ,3.699,5000,16,,extinct,EX, ,Browse,same as family,terr,Neither the genus nor the species exist- family or above change or no more info available.,,,,,,,,,,,,,,,,,,,,,,
1202,AUS,,Diprotodontia,Potoroidae,Potorous,longipes,,Long-footed Potoroo,3.279,1900,59,valid,extant,VU,2016,Browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1357,AUS,,Diprotodontia,Potoroidae,Potorous,platyops,,Broad-faced Potoroo,2.699,500,3_ 21,valid,historical,EX,2008,Browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1203,AUS,,Diprotodontia,Potoroidae,Potorous,tridactylus,,Long-nosed Potoroo,3.041,1100,59,valid,extant,NT,2016,Browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1319,AUS,,Diprotodontia,Potoroidae,Propleopus,oscillans,,,4.602,40000,16,valid,extinct,EX, ,Browse,same as family,terr,,Good taxonomy,PBDB; H. A. Longman. 1924. Some Queensland fossil vertebrates. Memoirs of the Queensland Museum 8(1):16-28,,,,,,,,,,,,,,,,,,,,
1085,AUS,,Diprotodontia,Psuedocheiridae,Hemibelideus,lemuroides,,Lemuroid Ringtail Possum,2.979,952.5,59,valid,extant,NT,2008,Browse,t4,arboreal,Genus and species name match. Likely taxonomy is DIPROTODONTIA Pseudocheiridae Hemibelideus lemuroides,,,,,,,,,,,,,,,,,,,,,,
1173,AUS,,Diprotodontia,Psuedocheiridae,Petauroides,volans,Didelphis volans,"Greater Glider, Greater Gliding Possum",3.114,1300,59,valid,extant,VU,2016,Browse,t4,arboreal,Genus and species name match. Likely taxonomy is DIPROTODONTIA Pseudocheiridae Petauroides volans,,,,,,,,,,,,,,,,,,,,,,
1189,AUS,,Diprotodontia,Psuedocheiridae,Petropseudes,dahli,,"Rock Ringtail Possum, Rock Possum",3.215,1640,59,valid,extant,LC,2008,Frug/browse,t4,arboreal,Genus and species name match. Likely taxonomy is DIPROTODONTIA Pseudocheiridae Petropseudes dahli,,,,,,,,,,,,,,,,,,,,,,
1208,AUS,,Diprotodontia,Psuedocheiridae,Pseudocheirus,peregrinus,,"Common Ringtail Possum, Common Ring-tailed Possum, Queensland Ringtail",2.954,900,59,valid,extant,LC,2008,Browse,t4,arboreal,Genus and species name match. Likely taxonomy is DIPROTODONTIA Pseudocheiridae Pseudocheirus peregrinus,,,,,,,,,,,,,,,,,,,,,,
1209,AUS,,Diprotodontia,Psuedocheiridae,Pseudochirops,archeri,,Green Ringtail Possum,3.038,1091.5,59,valid,extant,LC,2008,Browse,t4,arboreal,Genus and species name match. Likely taxonomy is DIPROTODONTIA Pseudocheiridae Pseudochirops archeri,,,,,,,,,,,,,,,,,,,,,,
1207,AUS,,Diprotodontia,Psuedocheiridae,Pseudochirulus,herbertensis,,"Herbert River Ringtail Possum, Herbert River Ringtail",3.047,1115,59,valid,extant,LC,2008,Browse,t4,arboreal,Genus level change. ,synonym; Pseudocheirus is now Pseudochirulus,Catalogue of life .org,,,,,,,,,,,,,,,,,,,,
1279,AUS,,Diprotodontia,Tarsipedidae,Tarsipes,rostratus,,Honey Possum,0.954,9,59,valid,extant,LC,2008,Frug,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1302,AUS,,Diprotodontia,Vombatidae,Lasiorhinus,angustidens,,,4.699,50000,16,valid,extinct,EX, ,Graze,same as congeners,terr,,Good taxonomy,Johnson & Prideaux 2004,,,,,,,,,,,,,,,,,,,,
1101,AUS,,Diprotodontia,Vombatidae,Lasiorhinus,krefftii,,"Northern Hairy-nosed Wombat, Queensland Hairy-nosed Wombat",3.462,2900,59,valid,extant,CR,2008,Graze,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1102,AUS,,Diprotodontia,Vombatidae,Lasiorhinus,latifrons,,Southern Hairy-nosed Wombat,4.407,25500,59,valid,extant,NT,2016,Graze,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1313,AUS,,Diprotodontia,Vombatidae,Phascolomys,medius,,,4.699,50000,13_ 16,valid,extinct,EX, ,Graze,same as family,terr,,Good taxonomy,"Dawson L. Y. N. U. A. L. L. ""On the uncertain generic status and phylogenetic relationships of the large extinct vombatid species Phascolomys medius Owen 1872 (Marsupialia: Vombatidae)."" Australian Mammalogy 6.1 (1983): 5-13.",,,,,,,,,,,,,,,,,,,,
1314,AUS,,Diprotodontia,Vombatidae,Phascolonus,gigas,,,5.301,2.00E+05,13_ 16,valid,extinct,EX, ,Graze,same as family,terr,,Good taxonomy,PBDB; R. Lydekker. 1894. A Hand-Book to the Marsupialia and Monotremata 1-302,,,,,,,,,,,,,,,,,,,,
1323,AUS,,Diprotodontia,Vombatidae,Ramsaya,magna,,,5,1.00E+05,16,valid,extinct,EX, ,Graze,same as family,terr,,Good taxonomy,Webb 2008,,,,,,,,,,,,,,,,,,,,
1338,AUS,,Diprotodontia,Vombatidae,Vombatus,hacketti,,,4.477,30000,13_ 16,valid,extinct,EX, ,Graze,same as congeners,terr,,Good taxonomy,Flannery 1990,,,,,,,,,,,,,,,,,,,,
1288,AUS,,Diprotodontia,Vombatidae,Vombatus,ursinus,,"Common Wombat, Coarse-haired Wombat",4.415,26000,59,valid,extant,LC,2008,Graze,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1339,AUS,,Diprotodontia,Vombatidae,Warenja,wakefieldi,,,4,10000,16,valid,extinct,EX, ,Graze,same as family,terr,,Good taxonomy,Extinctions in Near Time: Causes Contexts and Consequences eds by Ross DE MacPhee and Hans-Dieter Sues,,,,,,,,,,,,,,,,,,,,
1107,AUS,,Lagomorpha,Leporidae,Lepus,capensis,,"Cape Hare, Desert Hare, Arabian Hare, Brown Hare",3.602,4000,59,valid,extant,LC,2008,NA,NA,NA,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1379,AUS,,Lagomorpha,Leporidae,Oryctolagus,cuniculus,,European Rabbit,3.199,1580,59,valid,introduction,NT,2008,,,,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1167,AUS,,Monotremata,Ornithorhynchidae,Ornithorhynchus,anatinus,Platypus anatinus,"Platypus, Duck-billed Platypus",3.172,1484.25,59,valid,extant,NT,2016,Ginsect,t4,aquatic,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1307,AUS,,Monotremata,Tachyglossidae,Megalibgwilia,ramsayi,,,4,10000,13_ 16,valid,extinct,EX, ,Ginsect,echidna family,terr,,Good taxonomy,"PBDB; M. Griffiths, R. T. Wells, and D. J. Barrie. 1991. Observations on the skulls of fossil and extant echidnas (Monotremata: Tachyglossidae). Australian Mammalogy 14(2):87-102",,,,,,,,,,,,,,,,,,,,
1273,AUS,,Monotremata,Tachyglossidae,Tachyglossus,aculeatus,,"Short-beaked Echidna, Kangaroo Island Echidna",3.653,4500,59,valid,extant,LC,2008,Ginsect,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1340,AUS,,Monotremata,Tachyglossidae,Zaglossus,hacketti,,Gigantic Long Beaked Echidna ,4.477,30000,13_ 16,valid,extinct,EX, ,Ginsect,echidna family,terr,,Good taxonomy,Flannery 1990,,,,,,,,,,,,,,,,,,,,
1151,AUS,NW Australia,Notoryctemorphia,Notoryctidae,Notoryctes,caurinus,,"Kakarratul, Northwestern Marsupial Mole, Northern Marsupial Mole",1.531,34,228,valid,extant,LC,2016,Ginsect,same as congeners,terr- fossorial,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1152,AUS,,Notoryctemorphia,Notoryctidae,Notoryctes,typhlops,Psammoryctes typhlops,"Itjaritjari, Southern Marsupial Mole, Marsupial Mole",1.74,55,59,valid,extant,LC,2016,Ginsect,t4,terr- fossorial,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1343,AUS,,Peramelemorphia,Chaeropodidae,Chaeropus,ecaudatus,,Pig-footed Bandicoot,2.301,200,3_ 19,valid,historical,EX,2008,browse/ginsect,t4,terr,Genus and species name match. Likely taxonomy is PERAMELEMORPHIA Chaeropodidae Chaeropus ecaudatus,Family name changed from Chaeropus to Prolagidae,MSW3,,,,,,,,,,,,,,,,,,,,
1077,AUS,,Peramelemorphia,Peramelidae,Echymipera,rufescens,,Long-nosed Echymipera,3.041,1100,59,valid,extant,LC,2008,Ginsect/frug,t4,terr,Genus and species name match. Likely taxonomy is PERAMELEMORPHIA Peramelidae Echymipera rufescens,Family name changed from Peroryctidae to Peramelidae,MSW3,,,,,,,,,,,,,,,,,,,,
1094,AUS,,Peramelemorphia,Peramelidae,Isoodon,auratus,,Golden Bandicoot,2.628,425,59,valid,extant,VU,2008,ginsect/browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1095,AUS,,Peramelemorphia,Peramelidae,Isoodon,macrourus,,Northern Brown Bandicoot,3.204,1600,59,valid,extant,LC,2008,ginsect/browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1096,AUS,,Peramelemorphia,Peramelidae,Isoodon,obesulus,,"Southern Brown Bandicoot, Nuyts Southern Brown Bandicoot, Quenda",2.889,775,59,valid,extant,LC,2008,Ginsect,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1170,AUS,,Peramelemorphia,Peramelidae,Perameles,bougainville,,"Western Barred Bandicoot, Barred Bandicoot, Mal, Nymal , Long-nosed Bandicoot",2.354,226,59,valid,extant,VU,2016,Ginsect,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1356,AUS,,Peramelemorphia,Peramelidae,Perameles,eremiana,,Desert Bandicoot,2.699,500,4,valid,historical,EX,2008,Ginsect,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1171,AUS,,Peramelemorphia,Peramelidae,Perameles,gunnii,,Eastern Barred Bandicoot,2.94,870,59,valid,extant,NT,2008,ginsect/browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1172,AUS,,Peramelemorphia,Peramelidae,Perameles,nasuta,,Long-nosed Bandicoot,2.989,975,59,valid,extant,LC,2008,ginsect/browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1336,AUS,,Peramelemorphia,Thylacoleonidae,Thylacoleo,carnifex,,,5.061,115000,13_ 16_ 22,valid,extinct,EX, ,Carn,t4,terr,,Good taxonomy,PBDB; R. Lydekker. 1894. A Hand-Book to the Marsupialia and Monotremata 1-302,,,,,,,,,,,,,,,,,,,,
1124,AUS,,Peramelemorphia,Thylacomyidae,Macrotis,lagotis,,"Bilby, Greater Rabbit-eared Bandicoot, Greater Bilby, Dalgyte",3.13,1350,59,valid,extant,VU,2008,Ginsect/frug,t4,terr,Genus and species name match. Likely taxonomy is PERAMELEMORPHIA Thylacomyidae Macrotis lagotis,Family name changed from Peramelidae to Thylacomuidae,MSW3,,,,,,,,,,,,,,,,,,,,
1349,AUS,,Peramelemorphia,Thylacomyidae,Macrotis,leucura,,"Yallara, Lesser Bilby",2.549,354,3_ 18,valid,historical,EX,2008,frug/carn,t4,terr,Genus and species name match. Likely taxonomy is PERAMELEMORPHIA Thylacomyidae Macrotis leucura,Family name changed from Peramelidae to Thylacomuidae,MSW3,,,,,,,,,,,,,,,,,,,,
1376,AUS,,Perissodactyla,Equidae,Equus,asinus,,,5.512,325000,59,valid,introduction,LC,,,,,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1344,AUS,,Rodentia,Muridae,Conilurus,albipes,Hapalotis albipes,"White-footed Rabbit-rat, White-footed Rabbit Rat, Rabbit-eared Tree-rat, White-footed Tree-rat",2.301,200,3,valid,historical,EX,2016,Browse/frug,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1064,AUS,,Rodentia,Muridae,Conilurus,penicillatus,,"Brush-tailed Rabbit-rat, Brush-tailed Tree-rat",2.186,153.5,59,valid,extant,VU,2016,Browse/frug,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1091,AUS,,Rodentia,Muridae,Hydromys,chrysogaster,,"Common Water Rat, Golden-bellied Water Rat",2.782,606,59,valid,extant,LC,2008,Ginsect/carn,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1103,AUS,,Rodentia,Muridae,Leggadina,forresti,,"Central Short-tailed Mouse, Forrest's Mouse",1.301,20,59,valid,extant,LC,2008,frug/ginsect/browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1104,AUS,,Rodentia,Muridae,Leggadina,lakedownensis,,"Northern Short-tailed Mouse, Lakeland Downs Mouse",1.243,17.5,59,valid,extant,LC,2008,Frug,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1347,AUS,,Rodentia,Muridae,Leporillus,apicalis,,"Lesser Stick-nest Rat, White-tipped Stick-nest Rat",2.176,150,3,valid,historical,EX,2016,Browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1105,AUS,,Rodentia,Muridae,Leporillus,conditor,,"Greater Stick-nest Rat, House-building Rat",2.544,350,59,valid,extant,VU,2008,Browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1218,AUS,,Rodentia,Muridae,Mastacomys,fuscus,Pseudomys fuscus  ,"Broad-toothed Rat, Broad-toothed Mouse",2.086,122,59,valid,extant,NT,2008,Frug,same as congeners,terr,Genus level change. ,synonym; Pseudomys is now Mastacomys,IUCN redlist,,,,,,,,,,,,,,,,,,,,
1125,AUS,,Rodentia,Muridae,Melomys,burtoni,,"Grassland Melomys, Grassland Mosaic-tailed Rat",1.836,68.5,59,valid,extant,LC,2008,Browse/frug,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1126,AUS,,Rodentia,Muridae,Melomys,capensis,,"Cape York Melomys, Cape York Mosaic-tailed Rat",1.845,70,59,valid,extant,LC,2016,Browse/frug,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1127,AUS,,Rodentia,Muridae,Melomys,cervinipes,,"Fawn-footed Melomys, Fawn-footed Mosaic-tailed Rat",1.892,78,59,valid,extant,LC,2008,Browse/frug,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1128,AUS,,Rodentia,Muridae,Melomys,rubicola,,"Bramble Cay Melomys, Bramble Cay Mosaic-tailed Rat",2,100,59,valid,extant,CR,2008,Browse/frug,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1130,AUS,,Rodentia,Muridae,Mesembriomys,gouldii,,Black-footed Tree-rat,2.855,716.5,59,valid,extant,NT,2008,Frug,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1131,AUS,,Rodentia,Muridae,Mesembriomys,macrurus,,Golden-backed Tree-rat,2.427,267,59,valid,extant,LC,2008,Frug/ginsect,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1378,AUS,,Rodentia,Muridae,Mus,musculus,Mus abbotti  |Mus domesticus  ,House Mouse,1.217,16.5,59,valid,introduction,LC,,,,,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1146,AUS,,Rodentia,Muridae,Notomys,alexis,,"Spinifex Hopping Mouse, Spinefex Hopping Mouse",1.544,35,59,valid,extant,LC,2008,Frug/browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1350,AUS,,Rodentia,Muridae,Notomys,amplus,,Short-tailed Hopping-mouse,1.954,90,3_ 59,valid,historical,EX,2016,Frug/browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1147,AUS,,Rodentia,Muridae,Notomys,aquilo,,Northern Hopping-mouse,1.591,39,59,valid,extant,EN,2008,Frug/browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1148,AUS,,Rodentia,Muridae,Notomys,cervinus,,Fawn Hopping-mouse,1.544,35,59,valid,extant,VU,2008,Frug/browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1149,AUS,,Rodentia,Muridae,Notomys,fuscus,,Dusky Hopping-mouse,1.544,35,59,valid,extant,VU,2008,Frug/browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1351,AUS,,Rodentia,Muridae,Notomys,longicaudatus,,Long-tailed Hopping-mouse,2,100,59,valid,historical,EX,2016,Frug/browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1352,AUS,,Rodentia,Muridae,Notomys,macrotis,,Big-eared Hopping-mouse,1.954,90,3,valid,historical,EX,2016,Frug/browse,same as congeners,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1150,AUS,,Rodentia,Muridae,Notomys,mitchellii,,Mitchell's Hopping Mouse,1.716,52,59,valid,extant,LC,2008,Frug/browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1353,AUS,,Rodentia,Muridae,Notomys,mordax,,Darling Downs Hopping-mouse,1.954,90,4,valid,historical,EX,2016,Frug/browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1354,AUS,,Rodentia,Muridae,Notomys,sp1,,,2.699,500,4_ 59,valid,historical,,,Frug/browse,t4,terr,Species name change. Listing all species in the genus: alexis or amplus or aquilo or cervinus or fuscus or longicaudatus or macrotis or mitchellii or mordax,,,,,,,,,,,,,,,,,,,,,,
1201,AUS,,Rodentia,Muridae,Pogonomys,macrourus,,Chestnut Tree Mouse,1.799,63,59,valid,extant,LC,2008,Browse/frug,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1210,AUS,,Rodentia,Muridae,Pseudomys,albocinereus,,"Ash-grey Mouse, Ash-gray Mouse",1.484,30.5,59,valid,extant,LC,2008,browse/ginsect,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1211,AUS,,Rodentia,Muridae,Pseudomys,apodemoides,,Silky Mouse,1.301,20,59,valid,extant,LC,2008,Frug,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1212,AUS,,Rodentia,Muridae,Pseudomys,australis,,Plains Mouse,1.813,65,59,valid,extant,VU,2008,Frug,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1213,AUS,,Rodentia,Muridae,Pseudomys,bolami,,Bolam's Mouse,1.19,15.5,59,valid,extant,LC,2008,Frug,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1214,AUS,,Rodentia,Muridae,Pseudomys,chapmani,,"Western Pebble Mouse, Western Pebble-mound Mouse, Pilbara Pebble Mouse",1.079,12,59,valid,extant,LC,2008,Frug,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1215,AUS,,Rodentia,Muridae,Pseudomys,delicatulus,,"Delicate Mouse, Little Native Mouse",1.041,11,59,valid,extant,LC,2008,Frug,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1216,AUS,,Rodentia,Muridae,Pseudomys,desertor,,"Desert Mouse, Brown Desert Mouse",1.398,25,59,valid,extant,LC,2008,Browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1230,AUS,Western Australia,Rodentia,Muridae,Pseudomys,fieldi,Pseudomys praeconis  ,"Djoongari, Shark Bay Mouse, Alice Springs Mouse",1.653,45,60,valid,extant,VU,2008,Frug,same as congeners,terr,Species name change. ,"synonym; was P. praeconis, now is P. fieldi",MSW3,,,,,,,,,,,,,,,,,,,,
1358,AUS,,Rodentia,Muridae,Pseudomys,fieldi,Pseudomys praeconis  ,"Djoongari, Shark Bay Mouse, Alice Springs Mouse",1.653,45,59,valid,extant,VU,2008,Frug,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1217,AUS,,Rodentia,Muridae,Pseudomys,fumeus,,Smoky Mouse,1.845,70,59,valid,extant,EN,2008,Frug/browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1359,AUS,New South Wales_ S Queensland,Rodentia,Muridae,Pseudomys,glaucus,,"Blue-grey Mouse, Blue-gray Mouse",-999,-999,-999,valid,historical,EX,2016,,,,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1360,AUS,,Rodentia,Muridae,Pseudomys,gouldii,,Gould's Mouse,1.699,50,3,valid,historical,EX,2016,Frug,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1219,AUS,,Rodentia,Muridae,Pseudomys,gracilicaudatus,,Eastern Chestnut Mouse,1.874,74.75,59,valid,extant,LC,2008,Frug/browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1220,AUS,,Rodentia,Muridae,Pseudomys,hermannsburgensis,,Sandy Inland Mouse,1.079,12,59,valid,extant,LC,2008,frug/browse/ginsect,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1221,AUS,,Rodentia,Muridae,Pseudomys,higginsi,,Long-tailed Mouse,1.826,67,59,valid,extant,LC,2016,Browse/frug/ginsect,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1222,AUS,,Rodentia,Muridae,Pseudomys,johnsoni,Pseudomys laborifex  ,"Central Pebble Mouse, Central Pebble-mound Mouse",1.079,12,59,valid,extant,LC,2008,Frug/browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1223,AUS,,Rodentia,Muridae,Pseudomys,laborifex, , ,1.079,12,59,,extant, , ,Frug/browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1224,AUS,,Rodentia,Muridae,Pseudomys,nanus,,Western Chestnut Mouse,1.531,34,59,valid,extant,LC,2008,Graze/browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1225,AUS,,Rodentia,Muridae,Pseudomys,novaehollandiae,,"New Holland Mouse, Pookila ",1.301,20,59,valid,extant,VU,2008,Frug/ginsect,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1226,AUS,,Rodentia,Muridae,Pseudomys,occidentalis,,Western Mouse,1.531,34,59,valid,extant,LC,2008,Browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1227,AUS,,Rodentia,Muridae,Pseudomys,oralis,,"Hastings River Mouse, Koontoo ",1.978,95,59,valid,extant,VU,2008,Frug,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1228,AUS,Queensland,Rodentia,Muridae,Pseudomys,patrius,,"Eastern Pebble Mouse, Country Mouse, Queensland Pebble-mound Mouse",-999,-999,-999,valid,extant,LC,2008,,,,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1229,AUS,,Rodentia,Muridae,Pseudomys,pilligaensis,,Pilliga Mouse,1.041,11,59,valid,extant,DD,2016,Frug,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1231,AUS,,Rodentia,Muridae,Pseudomys,shortridgei,,"Heath Mouse, Shortridge's Native Mouse",1.845,70,59,valid,extant,NT,2008,Frug,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1361,AUS,,Rodentia,Muridae,Pseudomys,sp1, , ,1.699,50,4_ 59,,historical,EX, ,Frug,t4,terr,Species  me change. Listing all species in the genus: albocinereus or apodemoides or australis or bolami or calabyi or chapmani or delicatulus or desertor or fieldi or fumeus or glaucus or gouldii or gracilicaudatus or hermannsburgensis or higginsi or johnsoni or laborifex or  nus or novaehollandiae or occidentalis or oralis or patrius or pilligaensis or shortridgei,,,,,,,,,,,,,,,,,,,,,,
1236,AUS,,Rodentia,Muridae,Rattus,colletti,,Dusky Rat,1.785,61,59,valid,extant,LC,2016,Browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1237,AUS,,Rodentia,Muridae,Rattus,exulans,,Polynesian Rat,1.602,40,59,valid,extant,LC,2008,Frug/browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1238,AUS,,Rodentia,Muridae,Rattus,fuscipes,,Bush Rat,2.124,133,59,valid,extant,LC,2008,ginsect/browse,t4,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
