Index,Continent,Species Distribution,Order,FAMILY,Genus,Species,synonyms,Common,LogMass (g),Combined.Mass (g),Mass Reference,Mass Status,Status ,IUCN Redlist status,Year Assessed,trophic,trophic ref,habitat mode,MOMv5 vs. MSW3,LAB.COMMENTS.2016,Taxonomy Ref,TO.DO,,,,,,,,,,,,,,,,,,,
39,AF,,Afrosoricida,Chrysochloridae,Neamblysomus,julianae,Amblysomus julianae  ,Juliana's Golden Mole,1.342,22,60,valid,extant,EN,2015,ginsect,t1,terr- fossorial,Genus level change. Taxonomy possibilities are: AFROSORICIDA Chrysochloridae Neamblysomus julianae,Discarded order; was Insectivora now Afriosoricida,MSW3,,,,,,,,,,,,,,,,,,,,
643,AF,,Afrosoricida,Tenrecidae,Micropotamogale,lamottei,,"Nimba Otter Shrew, Pygmy Otter-shrew",1.843,69.6,68,valid,extant,NT,2016,piscivore,t1,terr,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Micropotamogale lamottei,Invalid order (paraphyletic); changed from Insectivora to Afrosoricida,MSW3,,,,,,,,,,,,,,,,,,,,
644,AF,,Afrosoricida,Tenrecidae,Micropotamogale,ruwenzorii,,"Rwenzori Otter Shrew, Ruwenzori Otter Shrew",1.993,98.501,60,valid,extant,LC,2016,invert,t1,terr,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Micropotamogale ruwenzorii,Invalid order (paraphyletic); changed from Insectivora to Afrosoricida,MSW3,,,,,,,,,,,,,,,,,,,,
838,AF,,Afrosoricida,Tenrecidae,Potamogale,velox,Cynogale velox,"Giant Otter Shrew, Giant Otter-shrew",2.82,659.994,60,valid,extant,LC,2016,piscivore,t1,terr,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Potamogale velox,Invalid order (paraphyletic); changed from Insectivora to Afrosoricida,MSW3,,,,,,,,,,,,,,,,,,,,
21,AF,,Artiodactyla,Bovidae,Addax,nasomaculatus,,Addax,4.845,70000.316,60,valid,extant,CR,2008,graze,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
22,AF,,Artiodactyla,Bovidae,Aepyceros,melampus,,"Impala, Black-faced Impala, Common Impala",4.72,52500.084,63_ 70,valid,extant,LC,2008,graze/browse,t1,terr,Unchanged taxonomy.,Good taxonomy,Wilson & Reeder,,,,,,,,,,,,,,,,,,,,
33,AF,,Artiodactyla,Bovidae,Alcelaphus,buselaphus,,Hartebeest,5.233,171001.532,63_ 70,valid,extant,LC,2008,graze,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
916,AF,,Artiodactyla,Bovidae,Alcelaphus,lichtensteinii, Sigmoceros lichtensteinii, Lichtenstein's hartebeest ,5.234,171498.371,60,,extant,LC,2008,Graze,www.krugerpark.co.za/africa_hartebeest.html,terr,Genus level change. Taxonomy possibilities are: ARTIODACTYLA Bovidae Alcelaphus lichtensteinii,synonym; was Sigmoceros now is Alcelaphus,IUCN redlist,,,,,,,,,,,,,,,,,,,,
41,AF,,Artiodactyla,Bovidae,Ammodorcas,clarkei,,"Dibatag, Clarke's Gazelle",4.448,28049.815,60,valid,extant,VU,2008,Browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
42,AF,,Artiodactyla,Bovidae,Ammotragus,lervia,,"Aoudad, Uaddan, Barbary Sheep",4.681,48000,75,valid,extant,VU,2008,graze/browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
