specimen,family,name,species,gender,p2.1,p2.2,p2.3,p3.1,p3.2,p3.3,p4.1,p4.2,p4.3,m1.1,m1.2,m1.3,m2.1,m2.2,m2.3,m3.1,m3.2,m3.3
FMNH 157397,Tayassuidae,Catagonus wagneri ,Catagonus wagneri ,,7.587,7.588,7.588,11.492,11.715,11.715,14.839,15.397,15.174,15.955,15.732,15.509,19.413,19.413,19.414,24.657,23.992,24.546
FMNH 157397,Tayassuidae,Catagonus wagneri ,Catagonus wagneri ,,7.818,7.236,7.633,11.938,12.05,12.05,14.527,13.964,14.189,15.428,15.317,15.09,18.244,18.131,18.018,24.888,24.775,24.662
FMNH 58646,Tayassuidae,Catagonus wagneri ,Catagonus wagneri ,,7.859,8.196,7.664,11.118,11.003,11.34,14.035,14.821,14.484,16.28,15.831,16.28,18.526,18.076,18.301,23.242,23.354,22.792
FMNH 157396,Tayassuidae,Catagonus wagneri ,Catagonus wagneri ,,8.371,8.419,7.827,12.128,11.905,11.905,15.243,15.021,15.355,16.69,16.801,17.135,19.249,19.36,19.916,24.812,24.589,24.812
FMNH 16012,Tayassuidae,Pecari tajacu angulatus,Pecari tajacu,,8.721,8.74,8.276,9.374,8.806,9.141,11.147,10.478,10.927,12.04,12.373,12.262,12.931,13.043,13.265,17.502,17.502,17.502
FMNH 16011,Tayassuidae,Pecari tajacu angulatus,Pecari tajacu,,8.606,8.494,8.046,9.946,9.5,9.387,10.728,10.505,10.507,11.4,11.511,11.622,11.728,11.735,12.517,17.545,17.675,17.545
FMNH 15998,Tayassuidae,Pecari tajacu crassus,Pecari tajacu,,7.525,7.492,7.038,8.993,9.054,9.092,10.277,9.607,10.166,11.506,11.238,11.282,12.287,12.287,12.623,16.868,16.532,16.532
FMNH 15996,Tayassuidae,Pecari tajacu crassus,Pecari tajacu,,7.299,7.527,7.452,8.881,8.955,9.03,11.288,11.213,11.137,10.563,10.912,10.836,12.944,13.094,13.019,18.889,19.114,19.039
FMNH 14032,Tayassuidae,Pecari tajacu humeralis,Pecari tajacu,,8.326,8.551,8.551,9.151,9.226,9.076,11.551,11.626,11.476,11.626,11.851,11.776,13.126,13.051,13.276,17.251,17.177,17.402
FMNH 14031,Tayassuidae,Pecari tajacu humeralis,Pecari tajacu,,7.562,7.565,7.79,7.774,8.22,7.885,10.947,11.173,10.835,11.624,11.85,11.85,13.656,13.656,13.768,16.447,16.252,16.59
FMNH 63923,Tayassuidae,Pecari tajacu nelsoni,Pecari tajacu,,7.661,7.81,7.439,8.404,8.33,8.033,10.04,9.966,9.818,10.413,10.189,10.264,12.049,12.048,10.346,16.585,16.585,16.511
FMNH 63922,Tayassuidae,Pecari tajacu nelsoni,Pecari tajacu,,6.526,6.77,6.709,8.326,8.401,8.251,10.201,10.276,10.201,11.177,10.952,10.026,11.776,11.626,11.626,16.577,16.727,16.877
FMNH 121193,Tayassuidae,Pecari tajacu ,Pecari tajacu,,10.023,9.952,9.489,11.106,10.829,11.082,12.612,12.323,12.521,14.697,14.757,14.314,14.304,14.256,14.397,21.724,22.289,21.832
FMNH 34332,Tayassuidae,Pecari tajacu ,Pecari tajacu,,6.669,6.706,7.073,9.573,9.236,9.381,10.771,10.547,10.815,11.602,11.715,11.38,12.501,12.501,12.728,17.907,17.569,18.245
FMNH 28916,Tayassuidae,Pecari tajacu,Pecari tajacu,,8.012,8.154,8.154,8.844,9.068,9.292,10.209,10.538,10.348,11.195,11.195,10.973,13.21,13.434,13.343,18.695,18.695,18.807
FMNH 28315,Tayassuidae,Pecari tajacu,Pecari tajacu,,6.846,6.853,6.846,8.416,8.191,8.304,10.331,10.409,10.479,11.445,11.446,11.558,13.466,13.802,13.802,18.29,18.29,17.957
FMNH 92369,Tayassuidae,Tayassu pecari pecari ,Tayassu pecari ,,9.779,9.906,9.906,10.988,10.563,10.656,12.207,11.652,12.207,13.872,13.872,14.094,15.869,15.869,16.202,21.085,20.974,21.196
FMNH 92368,Tayassuidae,Tayassu pecari pecari ,Tayassu pecari ,,10.183,10.168,10.279,10.839,11.173,11.62,13.073,12.851,13,13.967,14.19,13.743,15.978,15.755,15.866,22.57,22.905,22.905
FMNH 52498,Tayassuidae,Tayassu pecari ,Tayassu pecari ,,9.238,9.35,9.018,9.46,9.683,9.683,11.8,11.798,11.352,13.356,13.801,13.356,15.025,15.025,15.025,22.037,22.148,22.037
FMNH 62081,Tayassuidae,Tayassu pecari pecari ,Tayassu pecari ,,8.478,8.699,8.699,9.931,9.814,10.262,10.594,10.706,10.262,13.828,13.829,14.163,15.168,15.501,15.501,20.631,20.297,20.743
FMNH 79930,Tayassuidae,Tayassu pecari ,Tayassu pecari ,,9.029,9.254,9.475,10.369,10.929,10.814,12.484,12.818,12.596,15.271,15.048,14.825,16.385,16.275,16.385,20.844,20.287,20.621
FMNH 26670,Cervidae,Capreolus capreolus bedfordi ,Capreolus capreolus,,8.147,8.482,8.147,9.599,9.9945,9.837,11.712,11.82,12.301,13.168,12.398,12.671,14.542,14.717,14.823,19.057,19.057,19.521
FMNH 25648,Cervidae,Capreolus capreolus pygargus,Capreolus capreolus,,8.54,8.615,8.615,10.563,10.683,10.563,11.845,11.692,11.629,12.674,12.986,12.828,14.037,13.947,13.985,20.029,20.117,20.202
FMNH 1278,Cervidae,Capreolus capreolus pygargus,Capreolus capreolus,,8.699,8.852,8.782,11.848,11.773,11.698,12.373,12.373,12.298,12.898,12.898,12.598,14.773,14.998,14.773,22.347,22.647,22.272
FMNH 65572,Cervidae,Capreolus capreolus,Capreolus capreolus,,8.432,8.056,8.659,9.26,9.186,9.185,9.422,9.262,9.563,11.068,11.519,11.218,12.584,12.498,12.347,16.339,16.496,16.641
FMNH 97894,Cervidae,Capreolus capreolus,Capreolus capreolus,,7.326,7.123,7.176,9.115,9.414,8.965,9.789,10.161,10.163,10.758,10.758,10.683,11.954,11.953,12.178,16.66,16.586,16.81
FMNH 23553,Cervidae,Hippocamelus bisulcus ,Hippocamelus bisulcus ,,11.767,11.082,11.055,12.82,12.82,12.597,12.282,12.793,12.769,13.936,13.824,13.601,17.614,17.391,17.837,24.415,24.527,24.303
FMNH 1476,Cervidae,Hippocamelus bisulcus,Hippocamelus bisulcus ,,9.085,8.782,9.022,12.28,12.316,13.139,11.854,11.703,12.228,13.128,13.284,13.653,15.905,15.756,15.904,24.081,23.331,23.931
FMNH 92080,Cervidae,Mazama gouazoubira nemorivaga ,Mazama gouazoubira ,,7.145,6.843,6.994,7.82,7.745,7.595,7.746,7.52,7.523,10.001,10.152,9.926,10.227,10.076,10.227,15.49,15.49,15.866
FMNH 86898,Cervidae,Mazama gouazoubira nemorivaga ,Mazama gouazoubira ,,6.715,6.5,6.604,8.183,8.483,8.333,8.183,8.033,8.258,9.995,10.227,10.137,11.262,11.486,11.262,15.6247,15.691,15.766
FMNH 51878,Cervidae,Mazama gouazoubira gouazoubira,Mazama gouazoubira ,,7.237,6.861,7.238,8.67,8.67,8.745,8.594,8.594,8.519,10.403,9.952,10.403,11.092,11.178,11.1347,17.724,17.747,17.752
FMNH 283036,Cervidae,Mazama gouazoubira nana,Mazama gouazoubira ,,6.742,6.59,6.363,8.483,8.938,8.711,8.786,8.938,9.014,10.528,10.453,10.68,11.968,11.967,12.195,16.839,16.966,17.042
FMNH 20196,Cervidae,Mazama rufina bricenii,Mazama rufina ,,6.959,6.657,6.656,7.943,8.245,8.169,8.018,8.321,8.169,9.077,9.003,9.304,10.363,10.212,10.439,16.414,16.19,16.423
FMNH 20197,Cervidae,Mazama rufina bricenii,Mazama rufina ,,5.979,6.209,6.055,6.928,6.1,6.174,10.621,10.617,10.993,8.961,9.187,9.42,9.974,9.65,9.65,14.307,14.383,14.232
FMNH 70563,Cervidae,Mazama rufina ,Mazama rufina ,,6.216,5.909,6.464,7.1,7.326,7.554,7.779,7.478,7.629,8.988,8.959,9.064,9.668,10.121,9.908,14.502,14.501,14.501
FMNH 85824,Cervidae,Mazama rufina ,Mazama rufina ,,7.528,7.417,7.363,9.112,8.715,9.112,8.998,8.941,8.827,9.738,9.795,9.738,11.219,11.162,11.219,16.23,16.231,16.401
FMNH 88492,Cervidae,Mazama rufina ,Mazama rufina ,,6.67,6.76,6.7,7.064,7.141,7.596,7.52,7.53,7.672,8.964,8.813,9.268,9.876,9.951,9.723,13.597,13.749,13.523
FMNH 44334,Cervidae,Mazama rufina ,Mazama rufina ,,5.672,5.899,5.785,7.544,7.631,7.441,8.224,8.111,7.957,9.415,9.415,9.415,10.266,10.209,10.323,15.881,16.278,15.996
FMNH 68763,Cervidae,Muntiacus atherodes pleiharicus ,Muntiacus atherodes,,8.313,7.79,7.79,9.274,9.274,9.348,8.227,8.062,8.33,10.98,10.981,10.922,12.018,11.87,12.019,17.361,17.263,17.327
FMNH 68761,Cervidae,Muntiacus atherodes pleiharicus ,Muntiacus atherodes,,9.119,9.036,8.736,8.952,9.47,9.349,9.488,9.714,9.563,10.617,10.618,10.467,11.403,11.651,11.321,17.018,17.094,17.094
FMNH 26712,Cervidae,Muntiacus muntjak vaginalis,Muntiacus muntjak,,8.705,8.725,8.429,8.553,8.704,8.704,9.309,9.31,9.31,10.293,10.293,10.296,12.185,12.034,11.58,18.467,18.922,18.846
FMNH 104415,Cervidae,Muntiacus muntjak vaginalis,Muntiacus muntjak,,7.313,7.612,7.356,8.085,8.42,8.57,8.569,8.344,8.446,10.899,10.824,10.599,12.102,12.026,12.027,19.543,19.318,19.468
FMNH 99540,Cervidae,Muntiacus muntjak malabaricus,Muntiacus muntjak,,3.299,8.283,8.203,8.353,7.756,7.682,8.353,8.203,8.26,10.589,10.44,10.514,11.484,11.335,11.409,14.989,15.063,14.989
FMNH 99542,Cervidae,Muntiacus muntjak malabaricus,Muntiacus muntjak,,7.822,7.399,7.2,8.466,8.167,8.391,8.091,8.016,7.792,10.415,10.713,10.789,11.313,11.238,11.388,17.001,17.007,17.184
FMNH 39491,Cervidae,Elaphodus cephalophus,Elaphodus cephalophus,,8.012,7.862,7.862,8.68,8.687,8.986,9.66,9.51,9.51,11.756,11.681,11.457,12.655,12.58,12.505,18.121,17.747,17.822
FMNH 1281,Cervidae,Elaphodus cephalophus,Elaphodus cephalophus,,7.389,7.389,7.3165,9.997,10.26,10.173,9.662,9.811,9.72,11.045,10.971,10.971,12.239,12.165,12.09,19.852,19.777,20.972
FMNH 39493,Cervidae,Elaphodus cephalophus,Elaphodus cephalophus,,7.487,7.505,7.27,8.828,8.603,8.678,9.052,9.127,9.55,9.65,9.8,9.276,11.371,11.521,11.447,17.057,17.281,17.159
FMNH 34554,Bovidae,Connochaetes gnou,Connochaetes gnou,,,,,10.58,10.4,10.38,14.02,14.05,14.38,19.67,20.04,19.86,23.72,23.68,23.56,30.65,30.65,30.81
FMNH 13265,Bovidae,Damaliscus Dorcas Dorcas,Damaliscus pygargus,,,,,7.53,7.664,6.751,11.237,11.099,10.877,13.488,13.911,13.648,17.703,18.084,17.707,25.375,26.313,25.958
FMNH 13266,Bovidae,Damaliscus Dorcas Dorcas,Damaliscus pygargus,,3.809,3.809,3.434,6.883,7.995,7.957,12.228,11.848,11.865,11.842,11.506,10.709,17.524,17.333,17.334,26.858,26.858,27.102
FMNH 34566,Bovidae,Damaliscus dorcas phillipsi,Damaliscus pygargus,,6.098,5.77,6.018,7.483,7.316,7.844,10.371,10.486,10.511,14.199,13.691,13.268,17.168,17.413,16.915,23.391,23.632,23.633
FMNH 35111,Bovidae,Damaliscus hunteri,Beatragus hunteri,,10.952,11.082,11.082,9.645,9.033,9.033,6.574,6.765,7.38,19.379,19.159,18.806,21.601,21.788,22.558,24.804,25.171,24.606
FMNH 34605,Bovidae,Hippotragus niger niger ,Hippotragus niger,,13.329,13.317,13.151,15.542,15.613,14.74,15.997,15.608,15.472,18.57,17.822,17.843,19.38,19.698,19.698,29.448,29.072,29.45
FMNH 34517,Bovidae,Hippotragus niger niger ,Hippotragus niger,,12.174,12.627,1.127,15.591,15.486,15.07,16.697,16.067,15.792,17.829,18.736,18.152,21.062,21.184,21.181,34.418,33.757,34.007
FMNH 98111,Bovidae,Hippotragus niger niger,Hippotragus niger,,12.172,12.627,12.172,18.156,17.746,18.222,16.304,16.283,16.423,20.438,20.662,20.336,23.801,23.28,23.538,32.381,32.575,32.573
FMNH 20764,Bovidae,Kobus Kob thomasi,Kobus kob,,6.9,9.872,7.305,8.797,9.093,8.748,11.819,11.417,11.873,13.873,13.848,14.18,14.95,14.907,15.272,21.659,21.617,20.959
FMNH 41660,Bovidae,Kobus vardoni vardoni,Kobus vardoni,,6.629,7.013,7.15,7.422,7.659,7.794,8.715,8.715,9.377,12.156,12.534,12.502,14.471,14.361,14.653,22.062,21.946,22.228
FMNH 104802,Cervidae,Muntiacus reevesi,Muntiacus reevesi,,6.756,6.85,6.96,7.617,7.488,7.843,7.601,7.638,7.698,9.267,8.973,8.606,9.471,9.699,9.401,15.176,15.292,15.404
FMNH 35999 ,Cervidae,Muntiacus reevesi reevesi,Muntiacus reevesi,,7.05,7.819,6.747,7.316,7.086,7.43,8.229,7.886,7.316,9.715,10.302,9.383,10.411,10.545,10.53,15.349,15.792,15.967
FMNH 35997,Cervidae,Muntiacus reevesi reevesi,Muntiacus reevesi,,6.697,6.699,6.702,7.68,8.051,8.233,7.985,7.851,8.168,9.963,9.877,9.877,11.28,11.047,10.735,16.315,16.143,16.617
FMNH 88494,Cervidae,Pudu mephistopheles ,Pudu mephistophiles,,5.73,5.728,5.438,6.874,6.576,6.71,6.874,6.874,7.049,8.265,7.937,8.101,8.183,8.183,8.347,12.029,12.029,11.947
FMNH 86848,Cervidae,Pudu mephistopheles ,Pudu mephistophiles,,5.971,5.689,5.953,6.834,6.825,6.471,6.73,7.074,7.051,7.543,7.364,7.57,7.62,7.813,7.815,11.765,11.495,11.674
FMNH 86846,Cervidae,Pudu mephistopheles ,Pudu mephistophiles,,5.596,5.546,5.59,6.953,6.566,6.588,7.232,7.142,6.942,8.031,7.532,8.121,7.814,8.122,7.739,12.123,12.214,12.288
FMNH 86847,Cervidae,Pudu mephistopheles ,Pudu mephistophiles,,5.591,5.833,5.334,6.671,6.643,7.09,6.911,6.849,6.931,8.117,7.989,8.264,8.137,7.908,8.226,11.88,11.858,12.115
FMNH 24363,Cervidae,Pudu puda,Pudu puda,,6.624,6.658,6.654,8.041,8.009,8.043,8.189,8.025,8.098,9.005,9.263,9.079,10.153,10.279,10.141,14.828,14.487,14.721
FMNH 24362,Cervidae,Pudua pudu,Pudu puda,,7.074,7.053,7.003,7.687,7.619,7.756,9.132,8.993,8.838,10.036,10.3,10.277,10.5,10.48,10.451,14.749,14.474,14.635
FMNH 23554,Cervidae,Pudu puda,Pudu puda,,7.123,7.286,6.858,7.48,7.48,7.193,8.014,8.02,7.835,9.287,8.571,8.499,10.035,10.143,10.224,14.477,14.295,14.385
FMNH 50773,Cervidae,Pudu puda,Pudu puda,,6.395,6.006,6.427,7.005,7.33,7.339,6.991,7.555,7.972,9.252,8.97,9.839,9.266,9.739,9.282,12.551,13.841,13.442
FMNH 29828,Cervidae,Axis axis axis ,Axis axis,,,,,7.946,8.115,8.029,11.945,11.3641,11.813,17.719,14.569,16.403,17.379,16.92,18.357,20.592,21.293,21.275
FMNH 91222,Cervidae,Axis axis axis ,Axis axis,,10.209,10.443,10.174,11.125,11.957,11.991,11.287,11.392,11.022,14.263,14.297,14.413,17.714,17.689,17.57,25.475,25.203,24.958
FMNH 27457,Cervidae,Axis axis axis ,Axis axis,,10.215,10.36,10.668,12.962,13.239,13.664,11.657,12.004,12.211,15.558,15.181,15.734,18.017,18.711,18.37,26.3,25.819,26.337
FMNH 25703,Cervidae,Axis axis axis ,Axis axis,,10.308,9.989,9.77,12.692,12.48,12.545,12.038,11.936,12.27,15.101,15.327,14.907,18.396,18.934,18.385,26.815,26.612,26.684
FMNH 68004,Cervidae,Rusa alfredi,Rusa alfredi,,8.728,8.843,8.68,10.207,10.192,10.299,11.249,11.118,10.975,12.173,12.158,12.158,15.499,15.306,15.731,22.743,23.096,23.037
FMNH 66326,Cervidae,Rusa alfredi,Rusa alfredi,,8.824,9.011,9.415,10.877,10.771,10.509,12.016,12.016,12.136,12.906,12.36,12.937,15.45,15.315,15.181,21.177,21.314,21.133
FMNH 68005,Cervidae,Rusa alfredi,Rusa alfredi,,12.336,12.312,12.343,15.155,14.641,14.934,15.845,15.702,14.672,15.944,16.667,15.656,19.774,19.479,20.155,28.065,28.153,28.153
FMNH 60771,Cervidae,Dama dama ,Dama dama,,10.467,9.908,10.109,13.843,14.21,13.707,13.644,13.863,13.318,16.823,16.271,16.452,19.405,19.342,19.698,27.597,27.845,27.638
FMNH 134489,Cervidae,Dama dama,Dama dama,,10.265,9.899,9.673,12.602,12.73,12.391,11.126,11.245,11.552,15.28,14.911,15.276,18.593,18.25,18.008,26.891,27.376,26.996
FMNH 56487,Cervidae,Rusa marianna francianus,Rusa marianna,,9.578,9.568,9.052,12.25,12.511,12.442,11.783,11.972,12.07,13.707,13.584,13.256,16.325,15.808,16.181,21.736,21.532,21.35
FMNH 56431,Cervidae,Rusa marianna francianus,Rusa marianna,,8.948,8.202,8.322,12.202,12.02,12.183,11.931,11.931,11.717,12.941,13.165,13.081,15.079,15.747,15.477,21.971,22.225,22.146
FMNH 61013,Cervidae,Rusa marianna apoensis ,Rusa marianna,,8.26,8.551,8.485,10.088,10.003,10.299,10.15,10.088,9.909,11.259,11.533,10.828,13.129,14.785,13.711,20.738,22,21.491
FMNH 56432,Cervidae,Rusa marianna francianus,Rusa marianna,,9.778,9.382,9.479,11.103,11.052,10.836,12.09,12.207,12.086,11.871,12.193,12.193,14.548,14.308,14.599,21.558,21.256,21.329
FMNH 62808,Cervidae,Cervus porcinus calamianensis,Axis porcinus,,7.435,7.676,7.239,9.788,9.812,9.723,10.109,10.208,9.723,11.432,11.42,11.255,15.493,15.266,15.337,22.172,21.526,21.717
FMNH 25700,Cervidae,Cervus porcinus porcinus ,Axis porcinus,,9.344,9.203,9.099,10.181,9.999,10.114,10.147,10.475,10.333,11.711,11.936,11.354,15.079,14.926,15.645,20.211,20.714,20.322
FMNH 105564,Cervidae,Cervus porcinus porcinus ,Axis porcinus,,8.612,8.808,8.715,9.695,9.74,9.623,10.486,10.407,10.374,10.966,11.053,11.053,16.016,15.893,15.669,23.038,23.289,23.391
FMNH 27449,Cervidae,Cervus porcinus porcinus ,Axis porcinus,,8.161,7.675,7.569,9.057,9.176,8.805,9.772,9.786,9.564,11.124,11.65,11.218,13.703,13.524,13.292,18.005,17.885,17.885
FMNH 28299,Cervidae,Ozotoceros bezoarticus campestris ,Ozotoceros bezoarticus,,7.295,6.893,6.926,9.772,10.203,10.129,11.221,11.455,11.359,13.453,12.213,12.895,16.192,15.678,16.015,22.635,22.428,22.453
FMNH 29185,Cervidae,Ozotoceros bezoarticus campestris ,Ozotoceros bezoarticus,,7.522,7.194,7.281,9.765,9.835,9.816,10.311,10.409,9.732,10.747,10.514,11.448,13.266,13.365,13.404,21.202,21.548,21.03
FMNH 26557,Cervidae,Ozotoceros bezoarticus campestris ,Ozotoceros bezoarticus,,7.089,7.149,7.402,8.486,8.871,8.709,9.32,9.162,9.373,10.528,10.73,10.73,13.477,13.713,13.892,22.614,22.562,22.417
FMNH 28301,Cervidae,Ozotoceros bezoarticus campestris ,Ozotoceros bezoarticus,,7.956,7.848,8.056,10.704,10.313,10.211,11.107,10.331,10.935,11.815,11.815,11.761,14.317,14.553,14.33,21.74,21.763,22.003
FMNH 14465,Cervidae,Odocoileus hemionus crooki,Odocoileus hemionus,,10.927,10.913,11.137,12.798,13.081,12.926,13.421,13.327,13.761,16.166,15.819,16.463,18.554,18.41,18.172,24.632,24.348,24.543
FMNH 18999,Cervidae,Odocoileus hemionus fuliginatus,Odocoileus hemionus,,8.636,8.586,8.65,10.526,10.75,10.081,11.658,11.698,11.698,12.051,12.15,12.302,14.591,14.662,14.502,20.916,21.162,20.769
FMNH 14433,Cervidae,Odocoileus hemionus crooki,Odocoileus hemionus,,9.387,9.19,8.997,13.83,13.424,13.225,14.095,14.352,13.753,15.668,15.51,15.666,17.841,17.841,18.07,24.273,23.854,24.642
FMNH 1517,Cervidae,Odocoileus hemionus hemionus ,Odocoileus hemionus,,10.522,10.365,10.399,12.821,12.821,12.286,14.898,14.485,14.527,15.228,14.46,15.581,18.775,18.609,18.542,29.434,28.594,29.555
